"","total","expected","hits","Raw p","Holm p","FDR"
"Fructose and mannose metabolism",2,0.0494,1,0.0489,1,1
"Glutathione metabolism",2,0.0494,1,0.0489,1,1
"Amino sugar and nucleotide sugar metabolism",5,0.123,1,0.119,1,1
