"","Sample","Group","C00003","C00005","C00008","C00015","C00016","C00019","C00020","C00029"
"1","AmA_1","AmA",12.9900315544095,4.29287314168232,11.7954875402956,6.9659877229963,10.7228119094562,14.0516070914021,13.8373217220472,9.94697625913192
"2","AmA_2","AmA",12.7984285819956,4.82912652050429,11.9730797565382,8.10331742451583,10.192352880634,12.9976100498586,14.8511799329778,9.81623747067505
"3","AmA_3","AmA",12.8180227007202,4.77767726647617,11.8073710395412,7.89640889057285,10.2733596310746,13.4441222238502,14.9463051649104,9.56110609756537
"4","AmA_4","AmA",12.7551867780208,4.66953981877659,11.6133867157155,7.81963877225824,10.1962639630207,13.0219057338875,14.4400571099855,9.64288698966608
"5","DMSO_1","DMSO",14.1256690335226,8.37331614500307,12.1573241638715,9.65367191924019,11.3067865453949,13.5811554834275,15.9694852672413,14.0043374471271
"6","DMSO_2","DMSO",13.6990460483948,8.0134859900744,12.6374000897101,9.7943891823445,10.9517902245627,13.1098132891094,16.2590053097893,13.881411389097
"7","DMSO_3","DMSO",14.2451265874634,8.37640683037386,11.9502776871858,9.85814661662247,11.113494981701,13.6252916949199,16.2649802840244,14.1388198278634
"8","DMSO_4","DMSO",13.8469839934242,10.257689126536,11.9616596712495,9.21763610983606,11.0672650072606,13.5417863289926,16.4904434323257,13.8507553039704
