"","Sample","Group","C00003","C00008","C00015","C00016","C00019","C00020","C00029","C00043"
"1","DMSO_1","DMSO",12.3854823123973,11.7237178608268,9.17998051195266,10.0355430387387,13.4030214739777,15.4507966837436,12.4544122667978,12.7192709258415
"2","DMSO_2","DMSO",12.3772690202507,11.6798568156013,9.6295445356802,9.27927517521656,11.2726386582153,15.7929033155839,12.4438042014624,12.339287599811
"3","DMSO_3","DMSO",12.3052208678495,11.6865823023263,9.4986065874224,9.39846692313753,11.607372563066,15.5638069834566,12.5326725896331,12.3421119724235
"4","DMSO_4","DMSO",12.2924404257191,11.5724405610847,9.27973394112852,9.60718849482102,12.2978147239702,15.4047450692524,12.3849583135286,12.0945907606198
"5","TFT_1","TFT",12.9304149157508,11.3946793606753,9.57956225500896,9.44024118095504,12.7649596791511,15.3654943980208,12.7353342963324,11.8937071964211
"6","TFT_2","TFT",12.7202595611767,11.4196089374766,8.79127457024302,10.6333425287657,13.2061768483699,15.1764765418063,12.5846425189692,11.997070971616
"7","TFT_3","TFT",13.1312262831888,11.2072517089163,8.54517796679558,10.5683439520235,13.6851142757032,15.403143651934,13.0783388934713,12.6523272206702
"8","TFT_4","TFT",13.2319555316323,11.4822791081058,9.45085120428471,9.29627622363241,12.061383173633,15.3862047693767,13.0346583235128,11.9284767943732
