Sample,Group,C00003,C00008,C00015,C00016,C00019,C00020,C00029,C00043,C00051,C00052,C00055,C00062,C00082,C00103,C00105,C00120,C00127,C00144,C00147,C00157,C00167,C00170,C00199,C00242,C00262,C00294,C00299,C00319,C00325,C00350,C00360,C00362,C00364,C00378,C00387,C00463,C00487,C00491,C00588,C00612,C00670,C00836,C00864,C00946,C01586,C02301,C02305,C02494,C02567,C02571,C02862,C02990,C03017,C03413,C03546,C03794,C03889,C04100,C04230,C05282,C05382,C05526,C05551,C05635,C06525,C07005,C07471,C07968,C08261,C10598,C14550,C17925,C19434,C19463,C20387,C21484
DMSO_1,DMSO,12.385482312397349,11.7237178608268,9.179980511952659,10.03554303873867,13.403021473977654,15.450796683743626,12.45441226679777,12.719270925841526,14.135544978116194,12.206028040852654,12.524989311256341,10.724829051688229,12.91521452003116,10.463789721354361,12.07154841253126,9.654615076169085,17.051914983344155,13.90296904161979,9.546772109328288,16.890541316105658,11.63565811476768,12.790902880265492,7.9900430617675555,12.175446618283324,13.026156664165155,16.842484716399916,14.258499840398002,12.161394062367624,9.342582982542899,6.8904760516272265,9.692215958199158,11.744543203117303,12.097512526036633,12.196772596291114,12.948540871999645,10.417943187445605,11.817588065342981,8.68861066035728,14.006236046597438,13.715358902015408,17.524529980406644,10.622902953810375,12.487845018444052,12.408327401590997,11.626416914344409,6.026206655660545,13.769326093973264,9.116398864862575,11.25745581290096,11.835124689219816,13.388418501511255,6.727637482708727,9.272653702665899,8.445198843799053,10.237716215688915,11.579814563770798,8.638080488743329,11.089508041117734,13.628845873787151,10.253885395349728,9.436972547557186,10.40144071724555,12.500645030527458,11.244768464079865,5.867097613024239,10.608191259730114,9.692508538125464,5.79445990415329,14.101288578786537,9.79272066698037,11.129436126145668,9.768150693613848,7.658570813923048,8.942266494687063,10.4011301989224,13.210449347429456
DMSO_2,DMSO,12.377269020250726,11.679856815601314,9.629544535680202,9.279275175216556,11.272638658215268,15.79290331558387,12.443804201462413,12.339287599810959,14.591809824025656,12.024472071169788,11.541942646636315,11.128089433934216,13.15586038275101,11.071846664436562,12.492781229023347,9.768106325456323,16.47569001172054,12.764108664431355,9.788915006284416,13.66803631649684,11.612246369159768,14.352030920506044,7.431326009521765,11.433993211352785,13.76314002519829,16.518044508996834,14.08636316746563,12.747697698367396,8.929792476503874,10.18803026207495,10.085784914865865,12.093176088297986,12.278107324610387,12.172431021692713,12.716148501342932,10.196770751364197,12.125800585249593,8.474985450929301,14.726347494078198,13.96460398928154,17.125834925602994,11.123581793059197,12.321702437878894,13.439236688256317,11.58346076689251,6.206868197732683,14.209704194346996,9.089809154571686,11.038420420606268,12.106998105553517,13.540795749541338,7.942762800562266,9.012227978366342,10.295845641158468,10.761950110067179,11.790761615434633,10.578204811638107,10.84425755100162,13.606446482039091,9.960224722316454,9.772258302264497,10.445081191648772,12.034323488834879,11.118168681121348,5.265189348089132,10.515791484046373,8.920629338894368,10.387506447458927,12.542409807996368,9.038425941149992,9.73643636017157,9.52945470829815,9.269099390990233,8.300271066337826,9.867162629693262,13.925407187273413
DMSO_3,DMSO,12.305220867849496,11.686582302326263,9.498606587422403,9.398466923137528,11.607372563065955,15.5638069834566,12.532672589633119,12.34211197242346,14.888589898248247,12.033713106395865,11.603617553652995,11.264167955420303,13.109204439632098,10.903193419502374,12.421814608386512,9.815480853423315,16.067809235555345,12.665385426102754,9.495240693235589,11.798610508843458,11.501813389349175,14.642672239097593,8.426979168106962,11.235105783229534,13.526654404470387,16.642765370996592,14.04376993386649,12.791826641345875,8.834701966915791,9.549271688339953,9.516998970508936,11.279628570568267,12.131805176334645,12.158013673635775,12.77535855363628,10.209255400213172,12.006194326948917,8.085156221265944,14.463036872610681,14.026612965885873,16.955703729592173,11.181596258894743,12.171378613061663,13.372878513787102,11.353911898960872,4.312763438734563,14.417043551462019,8.680944354293004,11.4096996624062,12.157405765909491,13.571898304780838,8.848909407279587,9.290620631156635,10.08278552985674,10.595930445737677,11.622503492054165,10.6288295166813,11.094240485573202,13.33007168749711,9.977484788325059,9.376229438581362,10.249624362557556,12.377014250894257,10.970797724034412,6.8278275209632495,10.737690931405101,9.226923728732373,9.234732096786116,12.547664976888683,9.648586206050364,9.921841591969379,9.593223971009458,8.994969616537638,8.394715845433815,9.41143040560542,13.728552997093852
DMSO_4,DMSO,12.292440425719143,11.572440561084665,9.279733941128516,9.607188494821022,12.297814723970152,15.404745069252376,12.384958313528593,12.094590760619834,14.734113182023933,11.787370157674811,11.612742769348033,10.767858725831235,12.99747629737802,10.924714532218063,12.45413152569245,9.761649896521728,16.342526412874445,12.630184833834827,9.272640566540131,12.631119192770942,11.330186531904248,14.300062596439803,7.404444872858074,11.528352781141828,13.591009716999428,16.743374773791782,14.20173291010234,12.71638449721113,9.008112522372626,9.438383928183036,9.551461164873702,12.084060754293287,12.14119180968904,12.16256459922842,13.134163917940468,9.973808689556686,11.77868669650384,8.029192667859904,14.43005212170094,13.790389134508427,16.9067764259725,11.374737145788819,12.337885170672136,13.386500330769453,11.425030398588637,4.251281261534656,14.11923946601529,9.130490307745585,12.009908229931847,12.201405969498614,13.541958614023823,8.387246016557672,9.4655696655313335,9.743056184148136,10.141839411826492,11.51407127492443,10.662325049278806,10.958850846409408,13.5616526736679,10.045810966122984,9.265087720032186,10.70073220378083,12.2710182466133,11.021397451543047,6.582496319354034,10.404000031110373,8.851755240095317,9.20542255325513,12.631387873720804,9.37125961431361,10.052676567958342,9.521555241094152,9.173260112156235,8.280782978775113,9.522605667061377,14.114675223219004
TFT_1,TFT,12.930414915750786,11.394679360675266,9.579562255008959,9.4402411809550415,12.764959679151076,15.365494398020799,12.735334296332402,11.893707196421117,15.071191386326813,11.758104516893962,11.257860706950572,11.027321160362435,13.253914601834557,10.469977470197827,12.817576140729175,10.445185746506626,16.319818643207213,11.644800745056601,8.694442119928354,14.660098733488974,10.79080925492432,14.31091846768491,5.044237508453538,11.416230950828904,13.074900637908774,15.840398356562352,13.822850216688478,12.823421303816271,8.275292968292586,10.63197616925842,9.365640635939533,11.191515920118528,9.158667780652117,12.296234044220826,11.949208669699422,10.062197171270672,11.495548341367249,7.711456248347507,14.046329945510449,13.896230324664295,17.33868360478673,11.291362172410015,12.642880251156726,12.707282986533142,11.470193495072367,6.90550475148025,14.054471371234783,9.565945891067893,12.153371367423876,12.302101112396674,13.495353299186021,9.485770366165417,9.760236049245748,9.54987631607311,9.819290895301888,10.950294751160364,9.634817060556797,10.572907632761412,12.793077237787667,8.838039533207954,8.673320457522241,10.02635356955332,12.62130095504588,11.466424582449342,8.123957888279117,10.576344527423561,9.302073436808161,8.423202847927724,12.155887417317567,8.994680973910034,9.658845665453097,9.80753466083656,10.03995434085806,8.134579753800374,9.149429932256668,13.880617953568352
TFT_2,TFT,12.720259561176656,11.419608937476639,8.791274570243015,10.633342528765654,13.206176848369864,15.176476541806275,12.584642518969172,11.997070971616038,14.403824676121504,11.718685904516425,12.672205298146848,10.604349826314644,12.149758170069212,11.009006578429608,13.249466167636733,10.00733092496019,17.45975769900096,12.714108105711523,9.283287246427253,15.454860736212495,11.18837611828676,13.692538466381126,7.049222829334372,12.419629826840357,11.750635878045685,15.523942216496252,13.896745187766747,11.104686205835671,8.730853169122545,9.692887720153585,9.161206909544218,10.001512761759768,11.163653101532951,12.312291809043503,11.853147324389518,10.946142045821395,11.439346471142578,8.205010227274425,13.419761717567361,13.295473515793262,17.49407316653142,9.711401673798076,12.68338885026858,13.331017707059711,11.78115133403621,8.221339427207365,13.26895305769692,9.436379488752353,12.320317772666312,11.971460509684785,13.314522557119487,9.929394756694846,9.529097632835366,6.855836921144753,10.074485034998435,11.519740723843823,7.27309701980566,9.05804567478069,11.821342389125565,9.827931456758852,8.95032723345312,9.936861525678111,13.060553292863887,12.345108993045205,7.6087491293032805,10.524791909267709,9.31846335750848,7.788372003081328,12.505606279409657,10.137551590670572,10.557533007572085,9.830934361682958,9.850072444747674,9.188176310886737,9.945634879049202,12.336219639865105
TFT_3,TFT,13.131226283188804,11.207251708916337,8.545177966795585,10.568343952023453,13.685114275703167,15.403143651933988,13.078338893471306,12.652327220670161,14.512625136224614,12.568282935294917,12.848583303233537,10.986738850311333,12.494854136621953,10.311450064322866,13.424344266277103,10.726710198858092,17.255879064565658,13.020325175003395,9.288746965303297,13.432686637962949,11.266123895268043,14.452061369634313,7.392473530097432,12.531627612621941,11.692507674253726,16.147796705421747,14.571988687823337,11.507899723133374,8.833848768819673,7.525836424582766,9.484337478043612,10.182300106727283,10.710037934781427,12.651693823253316,12.530844952786941,10.945263852778313,11.393061142108415,8.955974979358487,13.12827649222587,13.661807684059275,17.75172955653157,10.019504261551326,12.8843597761637,12.920791041279946,11.483264590387723,8.043471030425346,13.948216519429993,10.021834607908767,12.316393139001184,11.929642386225694,13.649031890109233,9.478179847903455,10.023856423198886,6.904757141965862,9.745015804674196,11.167429093170037,6.51581381036865,9.851889238785828,11.757633969648335,9.920955425393384,10.125681707995959,10.009475373296683,13.005685590806499,12.110792503732153,7.784514088953198,3.2403683564259516,8.910356196277204,5.791859991167596,11.821377255158483,10.812252339987552,10.454600097949955,10.14690950568596,10.040317388128381,9.401023911147316,10.42974535159548,12.64593209334849
TFT_4,TFT,13.23195553163235,11.482279108105807,9.450851204284714,9.296276223632413,12.061383173632954,15.386204769376725,13.034658323512812,11.928476794373152,15.452559404785667,11.974026083951225,11.509038277053499,11.319420990482918,13.262170001877994,10.655870279262352,13.276986849128596,10.753302646628494,16.610655356863408,12.108944391911438,9.105561536809146,8.696090307808829,11.20686410775225,15.238501624302655,6.484678124082337,12.005577846670379,13.685702571343553,16.285623597948533,14.412807158244766,13.044605052905293,8.449495793212668,6.215225489043123,9.88638949785897,11.381025296748932,9.195137620381388,12.658829520981348,12.494660346764634,10.105362427508755,11.663391671227197,8.270450394694612,14.229227843046836,14.254720131448456,17.755941190934898,11.613485409677176,13.121568976888424,12.772848699369916,11.295355112402948,7.210767750731242,14.26229171811452,9.798762544543244,12.353374835221127,12.14025480409928,13.555617268481098,9.716650115926177,9.914220880645013,10.217846377639079,10.127166490376844,11.132671238028014,5.000913495968612,10.467710204798848,12.511119693818754,9.822488881001986,9.512680306534138,10.442831743886114,12.705923551742895,11.424535637156305,8.437997875403786,7.386418111045062,9.125781995973833,7.855407903738752,11.46171624260815,10.129653672859117,9.325136607586929,10.123066838446364,10.088410048430372,8.477957246842736,9.350716072803754,14.245744994558024
