"p.value","m.z","t.score"
4.64390806162321e-09,246.24254,-53.6066606981426
6.3648746484859e-06,806.88759,-28.7803164266711
1.88901232007209e-05,1032.94462,-31.1569181666243
3.80238605661184e-05,787.84749,-36.7512536951029
8.3835350981946e-05,205.09706,11.1339860254999
8.62354776812478e-05,353.41359,-20.9074415975963
9.14694876324933e-05,833.8517,-28.0899793216746
0.000130157834086812,789.86096,-19.1983464560648
0.000173437234957282,787.84687,-22.9505381944701
0.00017672186272312,771.85007,-18.5854345750133
0.000203074941663806,789.86091,-17.7890816578347
0.00021912373734426,806.88757,-17.5145747028468
0.000227608074371102,789.86145,-18.4908939568364
0.000233678712015982,789.86058,-17.3874691152284
0.000258675586719406,831.90775,-17.3716220886963
0.000267943044888927,831.90833,-16.5303720342533
0.000277207244088081,954.93841,-18.6631521939905
0.000290899993710372,771.85016,-16.5580745894739
0.000305500851238676,485.35714,7.9475647701404
0.000317001953958156,782.9698,-16.2675900725994
0.00040720966795724,789.86078,-15.0977654908751
0.000415646660863831,372.1957,7.0386616155921
0.000422558959656285,806.88784,-15.80221705539
0.000428277917362552,979.90074,-16.0685317100475
0.000456074684326809,245.09532,7.33919087819714
0.000524704283047976,233.09532,6.95336293315399
0.000546372650356251,318.66751,10.0440044882776
0.000664929050102003,202.10724,6.46079060900786
0.000709003940334654,246.24249,-13.7341046851708
0.000875304732740573,301.15898,6.12587640492667
0.000932008399759354,256.67969,6.22318638485853
0.00114268729510464,435.00253,-12.2424851207933
0.00124811781577894,473.34103,6.12769676009723
0.00124991786951675,476.22114,5.77862054683721
0.0012834342522727,303.1737,6.10906545908586
0.00130833305435256,823.82387,-10.9204173692216
0.00132410665938511,320.08111,-5.72262296905247
0.00132555034495042,370.05223,7.41818354940709
0.00162287343595479,74.00726,-6.24341310037017
0.00166383499931773,230.02221,6.12862098668197
0.00175160024585563,220.11795,5.35773748896213
0.00189948825277451,530.36192,6.77083012035981
0.00196627107021885,354.11125,8.78788408621567
0.0020338114144327,188.07059,6.83639702938578
0.00220894126482906,267.1713,5.11191535870761
0.00223081482733083,263.07037,5.10413814328356
0.00233897182539305,430.87123,5.25976741325763
0.00259536036993729,152.03178,5.20041687163058
0.00285682914760357,474.20623,6.6350264654065
0.00295984725942646,274.187,4.87959235375672
0.00307606311501063,920.75551,4.79999971168644
0.00317833979791017,265.06296,4.9163014460724
0.00326010886227659,205.09705,-4.79800675371408
0.00326758800658433,289.10142,-5.4972069554008
0.00352731769279823,333.0914,-4.64703708618145
0.00359819316430425,405.00955,5.02759107369624
0.0037179547219099,146.06018,4.82272387110301
0.00380303079256217,173.0079,-5.14626431854324
0.00380448200171561,242.64215,4.60001889369492
0.00433470805293179,318.12326,4.57682618855474
0.00469134615178695,406.04819,4.52289316236688
0.00493355564299232,274.2739,-7.35268238581288
0.00504232495451327,389.12048,4.42931850056435
0.00507266895738747,568.19116,-4.32369475685039
0.00534863535880857,184.07343,4.33892227556666
0.00536178613220296,219.0796,6.92655373941552
0.00542526366527497,82.96105,-4.24531064029897
0.00594940015200371,286.21249,4.18581700699574
0.00614818711643475,260.18533,-5.58456584232061
0.00615535058245362,176.07067,-4.30902193267359
0.00616279427360346,679.3553,4.19298214206049
0.00618951016582064,152.05664,5.88951455549959
0.00620026496065783,192.06551,-5.12968154508372
0.0062344566222256,259.11183,4.15236484162163
0.00627967206991669,369.09401,4.37262912702693
0.00637900047301405,335.10578,-4.77463317247218
0.00656668753126332,357.0879,-5.13376900154626
0.00657580961438926,388.22635,4.07099881522596
0.00674542275541583,373.06181,-4.33046810540714
0.00691391422358471,546.95477,4.4453259308013
0.00707989601027424,388.22639,5.75274395143274
0.00722290873289995,126.90513,-5.46694429578408
0.00725452359402142,222.09679,3.98823995532226
0.00739881069123761,261.12658,4.29214184167249
0.00740593186810208,332.8942,3.96632168055201
0.0074142282141435,480.34445,3.9960755759755
0.007447964135084,144.08082,4.26474460752029
0.00757599294113869,474.34398,4.22773298597884
0.00761540425284163,258.0736,4.00033688176539
0.00772513730158119,143.07278,4.04704423814044
0.00787097727375988,317.18911,4.01174370920542
0.00804908077089532,212.06144,4.02574466836899
0.00818187292803916,367.07918,4.22706398397913
0.00827523756618524,456.12569,4.81461204873305
0.00829799530175549,160.04277,-5.08127218092747
0.00839292830368279,595.36749,4.01168386229809
0.00868459163954226,308.09067,3.98580210667418
0.00868550027299679,192.04881,-4.20357537745852
0.0087286533425063,410.03786,4.0245818596173
0.00881472728538749,160.04273,-4.40304299368977
0.00882987382243637,156.10199,3.82424113203985
0.00886630990541505,652.05122,3.8232875974177
0.00888829622419949,628.95776,4.31355345425068
0.0090075858361693,574.04413,3.8893795896189
0.00918920333505096,333.09129,-5.02727566657057
0.00918952073067016,586.31357,-4.0440784074518
0.00919135983056473,528.84824,3.82689666045974
0.00932283779671318,513.14713,5.49540375880812
0.00942454663557455,536.08455,-3.89024301105916
0.00951586559289948,192.04889,-4.56100101642656
0.00961914535045702,401.07873,-4.26102068385817
0.00986039397804737,452.12353,-4.16848454836793
0.00989157959314781,538.14736,-3.89553371020432
0.00997394479736985,540.05383,3.80754531479125
0.0101348261161188,192.04883,-4.46212343377766
0.010216392388672,191.04018,5.65719128449657
0.0104362068359494,541.25086,3.77744768170632
0.0106781971586733,786.59984,-3.93492928227354
0.0109282276635052,86.09644,3.87865186920331
0.0114416706232339,255.04432,-4.95224829463348
0.0115671992657079,257.05905,-3.96303230354937
0.0117203265006591,173.00802,-3.82043842757159
0.0120225673049886,171.05981,-3.55880232027241
0.0121228275624636,339.1768,3.55239555712925
0.0121551355469728,386.21173,5.00215974474481
0.0122185532297143,311.93992,4.70441744617792
0.0122224140008739,518.32153,3.73366738856537
0.0122243388784681,151.02686,4.83193645653979
0.012236967566231,684.45391,3.60754597247365
0.0122504928954824,258.07373,4.14873265740603
0.0124836424968502,428.11321,3.53073894149415
0.0124964651848557,469.19654,3.54672925959663
0.0126927914644315,167.05528,-5.32540963589296
0.0127904135701412,198.03702,3.53007711539755
0.0132148723256101,247.03933,4.20861538437626
0.0134440435911324,219.07961,3.50275627040847
0.0136184818046367,642.47921,3.48826672591465
0.0136427052687492,149.02327,4.63460759879276
0.0139560103509075,582.55612,3.51358415210553
0.0141860821088688,247.80973,-4.85402341312203
0.0142026969187024,433.07451,-3.94079849179616
0.014348911023451,452.12342,-3.9020021239408
0.0146508886868947,611.14466,-3.39226794698574
0.0148421984196089,771.84981,-5.03137175945427
0.0152547984943716,235.01273,4.73108503504865
0.0152735616278393,114.06623,3.51069966874228
0.0156534581325922,230.18624,4.62359532784512
0.0159590760425077,543.23954,-3.59516529055805
0.0160709076833698,244.09296,4.0912123169068
0.016274788432675,206.05514,3.90120021520887
0.0163634977752174,184.0438,4.15847811792411
0.0164251325356134,151.06197,-4.19985885158878
0.0165265749758117,320.03476,-3.3054239613151
0.0167232647913542,269.08792,3.45878391501483
0.0168134188166387,451.15219,3.32514598665696
0.0171123007489781,176.07058,-4.4464652636217
0.0171786897913077,136.06173,3.39812430471922
0.0173259135051083,569.27305,3.7923623629423
0.0173303760038993,218.94317,4.10225538476893
0.0173563824222568,227.08447,3.26355744246816
0.0175172679980166,310.1763,3.26429892499512
0.0175989414711994,243.18325,3.28053245624911
0.017705195522652,335.106,-4.02965578168129
0.0178001448786463,234.91709,3.40782698801506
0.017869078144533,309.17838,3.49781303121285
0.018114026726492,346.0558,3.22102780014702
0.0181939898544947,640.46414,3.3601351387524
0.0184966873061209,246.99241,3.83499472317815
0.0185803684469419,118.06523,3.25654846347169
0.0186650711526866,298.09681,3.61670710805809
0.0187507339411401,492.2216,3.28345614052061
0.0188175232470155,531.36503,4.11818470911114
0.0188788726343781,160.04259,-3.28907185828393
0.0190160522147685,760.25703,3.22411837473729
0.0200357241643676,312.2039,3.55444581640364
0.0200830788384985,367.13942,3.24176949771805
0.0205827706213714,473.11971,3.19720577576235
0.0205892549230723,205.06393,3.14000946075275
0.0206873397194564,238.04504,3.30681167211745
0.020732450819919,184.07326,-3.12152710271069
0.0208442255457139,328.09611,3.1105003892427
0.0208833827878643,550.16759,-3.12755805770477
0.0209094327593777,473.33969,3.48749323994587
0.0213821600288322,668.05488,3.5252998841337
0.0213986371545329,347.02511,3.53978675396748
0.0214343667224067,249.05388,3.70903882251887
0.0214981684555569,391.28425,3.59611591480246
0.0215985763059275,492.04202,3.17086193106094
0.0216162375309233,347.02509,3.0835774548417
0.0216328036959331,357.0876,-3.57084826422328
0.0218588514576856,746.4251,3.16396835837472
0.022430313524397,369.09388,3.06997915054356
0.0225049658963617,480.15684,-3.9429627204414
0.0228043980982146,538.09846,-3.04552538739033
0.0232707405648457,172.99144,3.1637448004467
0.0235997467458985,700.48499,3.61083963234757
0.0237984221121996,524.36996,3.10393462225437
0.0247194613329077,335.10597,-3.0205314334901
0.0247558999859401,185.02785,3.84113812787604
0.0248066721817711,146.06019,-3.01139544882655
0.0249306591871638,255.0444,-2.98340975311255
0.0251327325656357,139.02135,3.10957736560194
0.0254657723243757,362.05068,3.35426471021662
0.0256849326019595,354.16589,3.13692068379377
0.0258646610834317,280.09212,3.31314802032484
0.0262533437295055,452.12346,-3.22027853800892
0.0262556135024257,525.24872,-3.08651015202157
0.0263017528524134,584.08874,3.27534522009091
0.026767853270193,339.07685,3.28502423802466
0.0268088596290271,304.16182,2.91856417253108
0.0269880293188219,461.21048,3.26082882715092
0.0273795272467621,482.82994,3.36826867381108
0.027544929825987,664.17132,3.0201045776002
0.0275942465136561,180.06666,2.978888578297
0.0278263439372676,572.03543,2.88934337498229
0.0279288613105761,466.29374,2.89436755036678
0.0280071299390272,400.34217,-3.18928111891936
0.0284127373284593,229.15421,2.89573744847944
0.0284838223163393,253.98128,3.24391202414385
0.0285900739661601,329.15279,3.3498758956591
0.0286633206493565,260.19672,2.97864094496616
0.0289986386808705,706.22637,2.86752640153118
0.0291240299087292,443.29774,2.85501980715188
0.0293027099451835,207.13898,3.0399572675434
0.0302833499206521,242.09981,2.91449332339107
0.0305290294745699,315.13725,-3.1585151460343
0.0305708666141163,176.07051,-2.82739620640543
0.0312554866305951,307.26439,2.81459988484781
0.0313068001522513,362.92781,-3.58462636742263
0.0313186209347631,351.08309,3.02833382361329
0.0315130721368632,184.09668,2.96819714093425
0.0319784706124777,302.10573,-2.83890633862151
0.0320286924922924,686.47052,2.88583068969682
0.0321073523909557,361.16488,2.85775848016968
0.0322365435911847,322.1067,2.83067491839018
0.0322891206849711,422.08737,3.48618448368976
0.0323507796983229,642.47958,2.93560186015782
0.0324259161119919,286.93068,2.76992009741859
0.0327333302937449,156.10186,2.91420547042414
