"","Sample","Group","C00003","C00005","C00008","C00015","C00016","C00019","C00020","C00029"
"1","Comp_1","Comp",12.8917909080472,7.9215294740183,11.2241100152954,8.46987698589464,9.71561713982642,12.6171217762064,10.4054474709047,12.5293351401083
"2","Comp_2","Comp",12.9797187663895,7.83870935031442,11.5512409594129,9.16244639709396,9.42635795715011,12.314820956135,10.4358622103462,12.5340794571261
"3","Comp_3","Comp",12.8394500447727,7.73872061002935,11.4168940647052,9.30702162127861,10.0695027380101,12.1382055434671,10.3982268182033,12.6648924098453
"4","Comp_4","Comp",12.8297134483758,4.80059660158152,11.2435023917996,9.37522620027298,9.61149861442272,12.2849119925174,10.3298134615202,12.5114571535749
"5","DMSO_1","DMSO",13.4565122751207,5.25977110287601,11.8015217640214,9.98168447643269,10.3523488309172,12.3167128597741,10.9238804037195,13.1736208714583
"6","DMSO_2","DMSO",13.4226207733041,6.73016729229298,11.6880715693201,10.0798765842733,10.4634566204649,12.3891435932235,10.9597113954288,13.2432884709372
"7","DMSO_3","DMSO",13.5371353218266,7.46620339475871,11.6832071185926,9.62120679274946,10.547676523501,12.8331800081392,10.9949641222809,13.4442360830717
"8","DMSO_4","DMSO",13.4207106992727,8.3920328242693,11.7712448416205,9.49065702616416,10.6470519500567,12.8182308858506,11.171874690595,13.5327748317801
