Sample,Group,C00003,C00005,C00008,C00015,C00016,C00019,C00020,C00029,C00043,C00051,C00052,C00055,C00061,C00062,C00082,C00103,C00105,C00120,C00127,C00144,C00147,C00157,C00167,C00170,C00199,C00242,C00262,C00294,C00299,C00307,C00319,C00325,C00350,C00360,C00362,C00364,C00378,C00387,C00463,C00468,C00487,C00491,C00550,C00570,C00588,C00612,C00670,C00836,C00864,C00946,C01586,C01657,C02301,C02305,C02494,C02567,C02571,C02862,C02990,C03017,C03546,C03672,C03742,C03794,C03889,C04100,C04230,C05282,C05284,C05382,C05526,C05551,C05635,C06525,C07005,C07074,C07471,C08261,C09633,C10598,C13916,C14550,C14635,C17925,C19434,C19463,C19670,C20387,C21484
Comp_1,Comp,12.891790908047225,7.9215294740183,11.224110015295413,8.469876985894643,9.71561713982642,12.617121776206375,10.405447470904658,12.529335140108278,12.047315658604115,14.394037975246524,11.932820947980744,11.650919411031257,8.816885476508205,11.01847067672875,13.467778512722083,11.10166396693258,13.883854699377045,14.005393318521383,16.5033796521833,13.540934643334003,7.8547872277125315,11.151398218814228,11.891937212632058,12.932179412826152,8.688339392707247,11.901162572976233,13.401790487248338,10.811589494014356,14.48583282784706,6.392647823324393,13.254925904908829,8.927954138283493,11.05079823813747,9.761095489569005,11.068106328871075,12.149485992616178,12.457721853177325,13.621899938141606,10.398603936444518,13.380384500930825,11.907790583717803,8.888101309092214,12.252921809599409,9.520598901433146,17.6730364226185,13.187488828193118,17.288474092975456,12.39162177981845,13.95086016909703,13.252394419978524,12.019027038314473,8.80558743568243,10.045731302702961,14.215272952517594,10.214592534114892,12.181501361967685,8.703727371388423,15.839160097088154,11.84975866314121,9.134884237225117,9.828820678807944,8.795712101903282,8.717892778847476,8.05813075582199,8.563754747029433,10.158145271406713,15.076419643924426,10.22796630504363,10.890886829867844,9.414078489794838,11.548160915795343,10.070973749909198,10.209400208084856,10.37204654803747,9.800685061504069,11.774073836554622,9.604349958288488,12.096457000374558,13.440453547515816,6.4632805698786875,5.568596082259575,8.876576536396767,12.217085037661203,10.151229167009037,8.207374220307198,8.67530296213419,9.309350698908556,10.379230292834258,13.068741690171676
Comp_2,Comp,12.979718766389452,7.838709350314421,11.55124095941293,9.162446397093959,9.426357957150106,12.314820956134996,10.4358622103462,12.53407945712608,11.997298934180172,14.321187087745846,11.954804018398885,11.673184725624814,8.178940187101425,11.261970623362053,13.498685885332403,11.599518501328188,14.015771439756888,14.605515685593893,16.653627376551743,13.976938854365105,7.939538015445018,12.793323155111867,11.976722400690923,12.880183954047,8.228598000360748,12.047934613366284,13.021167796052776,9.31487829434796,14.107794281105125,7.82270434834191,13.302953500100923,9.082469729308144,11.52413652793092,9.634044300950405,12.001896081059483,12.191566447399316,12.18168653482333,12.77220282283123,10.697072567721715,13.168042198666996,12.026959467265861,8.898281726883262,11.695713129289453,9.711786721135951,17.57302902934409,13.752100660475353,17.226633464394354,12.317626794540976,13.870787583309191,13.784315524488,12.084968237479671,8.221246251032028,10.129897419376366,14.072632009184147,10.33952941709911,11.842797028593798,8.713721866073342,15.565592508596799,12.149496621544856,8.937985247805305,10.225213574569441,7.777514966422154,8.724613184654132,8.012547478186923,8.246950163085772,9.813684530866745,15.034014937365534,10.442603656703506,10.407857089259197,9.533988994403849,11.768226540048051,10.097487886866181,10.313967435574138,10.387203021920676,8.855371531734466,11.801594568819038,9.370221605229533,11.919508031958717,13.253891921705778,6.4181728562798295,8.767507469974097,8.804035092070098,12.232631557699047,10.16605590910388,8.733438537507968,8.812382004417033,9.555604046940552,10.223225330273323,12.941576792993635
Comp_3,Comp,12.839450044772653,7.738720610029352,11.416894064705222,9.30702162127861,10.069502738010076,12.138205543467084,10.398226818203296,12.664892409845336,12.117272889236462,13.971056502740762,11.976417708897378,11.419706613142353,7.7929209867535185,11.175775511883865,13.617821100399084,11.695668307471049,13.877981888736068,14.563844170373281,16.345460287936387,13.725995564356973,7.949089633937406,12.482782446999297,12.117293155957027,13.040445922726386,7.314876000789132,11.793409526038388,13.108640907114031,9.078690460001976,13.880827475885312,8.002242762659751,13.352382073342818,9.011144835919453,11.237114203424586,9.382022176262103,11.851637199126461,12.114235699409328,12.36066510207048,12.613902789041958,10.512105267556906,13.439616587788048,12.306234165762778,9.392551304809594,11.798556750532045,9.825831017900006,17.717390846870337,13.519347319318857,17.361914867625106,12.387648735111975,14.040967566806634,13.774425564527844,12.129681087190052,8.26037770806782,10.048440460687617,14.100297254698981,10.321709248216138,11.428069783487405,8.99316855951145,15.49139052005426,12.401627259024059,8.7273274488597,10.485122521612519,7.955593657408511,9.058657498319773,7.9755230591815955,8.52348642483774,10.61455947955628,15.124665086611573,10.479024323006536,10.877452791578525,9.527826565670846,11.898925689152234,10.05760489611212,10.323820448151107,10.409038876225996,9.579697248594048,11.743943506841068,9.514647023704848,12.01888079325513,13.429091158580269,6.535440687814067,8.682133927381688,8.962446824136432,12.408140419524107,10.072841727071863,8.582168170610576,8.543060289228485,8.769765287946175,10.108206433427071,13.257741396652223
Comp_4,Comp,12.829713448375845,4.800596601581523,11.24350239179957,9.375226200272984,9.611498614422723,12.284911992517397,10.329813461520242,12.511457153574906,12.049046382479057,13.916458089617475,11.948938299660975,11.315151796373433,6.882312573480873,11.183005851659658,13.2854671080586,11.667757171724274,13.812724077760103,14.50469562606838,16.29073727218817,13.493278521176121,7.8419856818959754,11.239264471324047,11.890376566293513,12.954562037880578,8.293296246598777,11.438499647704989,13.11241393745484,8.879335216524721,14.202268444097685,7.887574773323526,13.383338027903111,9.147964955011167,11.401034973885736,9.538742739592745,11.597597876313584,12.244736146893814,12.047969743772795,13.084252749764303,10.398398774657938,13.342403411686787,12.13845761236245,9.157972318473659,12.402826081228115,9.746457969076301,17.592705409577558,13.528179510533748,17.238775812227697,12.385738875841199,13.759656421681743,13.486690319083259,12.154958226377525,8.641507701408482,9.968936323063055,13.958248733695438,10.297198205232855,10.908604013496,9.099590476207172,15.55998531651298,12.126587725286335,8.883809051396524,10.488823069283995,8.241932636054674,7.212411575351383,7.877413094020158,8.40311300436228,10.513193818490974,15.297993116231229,10.384594067372143,10.887242641262231,9.73135715595991,11.750769171765592,9.788098132207043,10.267701604405628,10.006424570100023,8.94242384737873,11.810642170318255,9.334755978506818,11.81939426485346,13.356500795029172,6.393842944662074,9.39163990769297,9.027329515302972,12.351262004730785,9.942385510507968,8.225648779346447,8.914857537393726,8.266714682722508,10.147719268300442,13.19772484317445
DMSO_1,DMSO,13.456512275120733,5.259771102876006,11.801521764021446,9.981684476432688,10.3523488309172,12.316712859774123,10.923880403719544,13.17362087145834,12.38718987012039,15.44042063104689,12.32048307344026,11.799094062012264,5.963937478044985,11.375759628882282,13.342611732353785,12.092840305311084,14.181094060258257,13.669887511539127,17.547379472768895,14.033773662194887,9.409887298157185,11.305716920689322,12.544562632541911,13.990079160336323,8.117223603989087,12.258218788886827,13.913494153142585,6.576932455195131,14.74900018503576,5.933188848999878,13.57300161070903,9.443570746851568,11.83935475585235,10.653756729286998,11.666125649575017,12.637350975557805,12.810408171438366,13.677473242200668,10.414327909599567,11.217562339046577,13.351146568403838,8.876492186681803,11.68086743353056,5.9679304083075735,18.272875810058018,13.805861574810121,17.6173246911017,12.467240367141505,14.153553669149183,13.838889687728207,11.852937339590227,6.276408727083619,10.453724040198233,14.575874119964043,10.342784509489034,11.623693929656847,7.192410533744817,14.551158497402518,10.575924170102518,10.243994259036466,10.932916598420595,5.841858244504716,7.895080097971177,8.561475064707261,7.598240311768043,10.981034358040919,16.016802212461492,10.601482178626695,8.915531532631231,10.08389749665634,11.888151980609173,9.606044460565132,10.048993736554575,9.915777329343854,10.451228304138034,9.732410335088714,9.925791951668328,11.926243391480085,11.286710129822769,10.177144198277647,6.366952298044469,10.138617272681552,10.216215264337958,10.195457295019658,6.918893668482873,8.955377065680791,11.108772819319048,10.739655449990575,14.374602958828044
DMSO_2,DMSO,13.4226207733041,6.730167292292982,11.688071569320137,10.079876584273347,10.463456620464902,12.389143593223515,10.959711395428801,13.24328847093725,12.436796424731236,14.771785369678595,12.356718115965176,12.15544296410217,8.726690110128766,11.298978666109065,13.392562693069223,12.035382989112648,14.26013454643601,13.663904959895286,17.5884646223456,14.413598247358227,9.023345766134826,13.299780079467578,12.682096937994903,13.726099933827703,8.76705882098387,12.687221401895885,14.08655676646405,9.396737354048483,14.727973905592645,5.890769479320897,13.513722888788406,9.496984962337343,12.011870629766225,10.362000185545195,11.850646745316915,12.428038686434542,12.95536819298671,13.455400991249913,10.587396962000051,11.22759299167148,13.136063105287858,8.875656733939959,11.664731048745839,5.977961060932477,18.36605978871001,14.043216369221058,17.48807883279638,12.273083116838782,13.986448792776683,14.109035619970937,11.96249293362926,6.114999407485956,10.416624657012983,14.806463129200209,9.917496230602262,11.495038608644279,7.202441186369722,14.444615481655438,10.34270003549692,10.130809747652776,10.63802861751795,5.680448924907054,8.238658052453648,8.7444589429447,8.551961608235324,10.5648091257595,15.913992903147724,11.065241302937574,8.87311216295225,10.041637427160277,12.185695799005265,9.656194856004953,10.134601622383531,10.213685656769167,9.902931108480253,9.689990965409732,9.732471359628464,12.180689245082734,11.296740782447673,9.482192276140925,9.034146212518209,10.039271830424266,10.173795894658976,9.96375049242958,8.466213176883672,8.725058487941892,11.104582106201754,10.656735424338699,14.211864074386952
DMSO_3,DMSO,13.537135321826641,7.466203394758714,11.683207118592598,9.621206792749458,10.547676523500996,12.833180008139193,10.994964122280908,13.444236083071665,12.262374774588405,15.10169791017516,12.169652248538096,11.927279883283079,7.818909457717348,11.123252572173431,13.30901193860401,12.399531461479437,14.225907451713859,13.937613046110846,17.760606337921317,14.13597254153169,9.471356638507217,12.630439467441471,12.854519493618074,13.798989424761004,7.7001294496638435,12.936437227904857,13.840366687824087,9.626186233836247,14.208075691425726,5.600507082065451,13.72390460332112,9.405678405196864,11.479833107468798,10.16428622079779,11.80169288057805,12.349047517479592,13.074148719340531,12.880036924651217,10.537892165835908,11.119079949283567,13.222248706948797,9.833260622497153,11.604115313730492,5.869448018544562,18.337189559362436,13.516690229187953,17.577444377536516,12.434842787478258,14.45994833879358,14.317510819540411,12.098857853804867,6.011167071179148,10.366027962598675,15.127124415156423,10.339832992204046,12.346246154354168,7.093928143981806,14.648681274284662,11.134661116192763,10.30652185874668,10.810194537697544,5.5766165886002454,8.704313929153512,8.893745433945725,8.822646041716851,11.072597622300147,15.771351934020204,10.770192496362304,8.582849765696803,9.57764412111388,12.644205020673606,9.989836400818978,9.535216033383717,10.427215459771887,10.31350625452927,9.399728568154286,10.24667813280584,11.849151010883032,11.188227740059757,9.188991397542557,8.769890185656832,9.718286524312893,9.88353349740353,10.311919726386039,9.05671407302115,8.954319750111695,11.376891504852345,10.693002788883819,14.562077407328907
DMSO_4,DMSO,13.420710699272703,8.3920328242693,11.77124484162053,9.490657026164165,10.647051950056738,12.818230885850648,11.17187469059499,13.532774831780085,12.507020779504144,15.520134112106799,12.428240575240277,11.631519635200315,7.785501144688094,11.706478274756964,13.290258544852252,12.75882088437093,14.211730928797015,13.926966385172129,17.644172555288623,13.858264561224592,9.2928518182658,14.119785510049878,12.92866339961598,14.005141415489808,7.59593956210049,11.786459907422559,13.720021282050554,6.217686366195576,14.309195299118436,5.639426382704106,13.81370494066272,9.648620536870807,12.338772811355556,10.406989169077082,12.148854539378828,12.15196063270263,13.065919010556376,12.849263950205774,10.830403761761762,11.093909328449444,13.07713306096471,10.594376084573883,12.086796089860922,7.806770567388395,18.415363350007258,13.952944276067702,17.93318462518609,12.581219191939248,14.381949415198521,14.234194818527879,12.389712837894384,7.122531871945575,10.422535915557148,14.932748775374693,10.425123612312852,12.08859486599528,7.068757523147684,14.603551713769091,10.88519022064477,10.267475988128554,11.356420871929936,5.4824609369946264,8.833988635513329,9.26739592836696,3.8329974200422017,11.474180483134612,15.796548580952525,11.072540988205054,8.621769066335458,10.26307165521936,12.904936032438322,9.713381902249266,9.930479886206125,10.272459286770204,8.848634310049455,9.438647868792941,10.878665738008628,11.521831872332905,11.163057119225636,9.718695453063637,9.109676482253374,9.675310013680441,9.922452798042185,10.381359219356588,8.16715294994892,9.010918789109153,11.252285793198498,10.748581500183079,14.796597005087841
