p.value,m.z,t.score,pos_inx
5.47902621142263e-09,245.06109,49.8184030157554,1
1.1147332286157e-08,112.05056,42.6313938784681,1
1.32229489388366e-08,343.0201,49.8527650679475,0
1.33541556126292e-08,489.11439,41.3634430794073,1
1.64046008695674e-08,692.09808,49.2561100077004,1
1.66100327934526e-08,358.18503,47.7187694863165,1
1.98657108669671e-08,264.03909,46.0518309272563,1
2.32914859531229e-08,497.05668,38.0643051760709,1
2.55841319581857e-08,269.1131,41.9549313203446,1
3.23554641773199e-08,489.11431,38.2638139716452,1
3.86167585787507e-08,116.0706,36.7699232584732,1
4.0995937366547e-08,582.50862,-39.7513252109726,1
5.07800917644041e-08,584.08874,-38.8836872289295,1
5.17872184511482e-08,297.10809,34.4800961807941,1
6.44598853460141e-08,553.27494,33.4247852832718,1
6.86569905424263e-08,247.07117,45.3305072179904,1
6.8932698752266e-08,426.35767,36.7172479067947,1
7.27946350239844e-08,551.23055,34.3741729068295,1
9.06914820899239e-08,611.02458,-30.4337697327114,1
9.78715215497921e-08,251.10257,34.4403569633615,1
1.01366417269664e-07,553.16853,-36.0962087300641,1
1.12613093738396e-07,563.2959,29.8437785036179,1
1.24684788334579e-07,265.08179,28.6289884063128,1
1.26319664000558e-07,258.93328,-28.5477109017397,1
1.32847401131458e-07,367.01606,31.9851118364524,1
1.3537563568555e-07,664.11572,34.1990914635168,1
1.39361042040094e-07,500.14994,29.9054094379849,1
1.47494972407408e-07,539.2597,30.9530622268372,1
1.49742686118747e-07,661.12861,34.5383085538464,1
1.5956284617678e-07,171.00642,40.7979691164567,0
1.69287133151482e-07,579.02696,-31.0094414856097,0
1.9360334776783e-07,747.87794,34.1939100433539,1
2.76177967958939e-07,149.02366,-24.9056013518435,1
3.30475581612815e-07,683.18461,32.6181720318407,1
3.48443760639321e-07,436.90659,-25.9747687071863,0
3.73823848865426e-07,319.08979,27.3093669939828,1
3.75148132291602e-07,718.30065,32.9763121190197,1
4.06370085625989e-07,732.31558,34.9714837033837,1
6.50272844078515e-07,173.08077,-23.7317689315864,1
7.77155639679539e-07,507.26929,27.2210453694508,1
8.57273851237407e-07,561.28021,28.157402623698,1
8.87366020330516e-07,606.07393,-20.5385201766091,0
9.23890359312151e-07,374.93988,-20.3365009094691,0
1.01116251827709e-06,134.08118,27.1918256555705,1
1.0306984918043e-06,328.87205,-23.4817981473521,0
1.16319561071448e-06,598.06815,-19.5751065293777,1
1.22856947937378e-06,521.28579,20.0247726680963,1
1.32511953253674e-06,612.55426,-19.1524983389389,1
1.38900961066115e-06,238.04504,-24.4422313855255,1
1.41323154509927e-06,210.07602,26.3479052517988,1
1.42854082879489e-06,405.0095,-21.1776493140048,1
1.52180599687224e-06,338.92942,-18.6965166054107,0
1.52181737241766e-06,265.08178,28.2592518931985,1
1.65804461124826e-06,214.04922,-20.454125189156,0
1.82495933302801e-06,557.24648,28.6633921689391,1
2.11250957024792e-06,504.2177,-20.7555618481976,0
2.13742979830363e-06,525.2451,25.3149081911684,1
2.19284859810424e-06,587.23589,25.1505460450324,1
2.26309855766008e-06,258.11021,-17.4629022875151,1
2.37665179938905e-06,136.94013,-18.2220625340769,1
2.47151724119767e-06,447.21253,20.3861235106756,1
2.76045583930579e-06,367.01643,27.3386591380803,1
2.84924329179543e-06,251.10265,17.8714460443005,1
2.91157073605293e-06,567.29449,29.6504016963747,1
3.38668594259839e-06,199.03242,37.8557560518961,1
3.58703388338793e-06,405.00955,-16.9753126930943,1
3.65058184430364e-06,265.08176,18.6767385788642,1
3.74294667817898e-06,296.06594,-16.036068821737,1
3.81700647066564e-06,265.08201,16.0710017386662,1
3.85932157454459e-06,236.11423,24.2009198621537,1
4.01625157311013e-06,549.28043,16.3404184889864,1
4.11549123473457e-06,704.28443,23.6174153519073,1
4.38350640498032e-06,389.12048,-17.5354026914938,1
4.52806575181041e-06,237.08691,24.4893123548904,1
4.91103517876053e-06,265.08173,15.3491462142328,1
5.53904788939936e-06,493.25418,16.2714065172511,1
5.78690472735761e-06,232.15434,-22.329739293969,1
5.87139929095542e-06,212.04299,-14.8513964798562,1
6.40014000109272e-06,289.16207,-14.6984117098771,1
6.42005230440014e-06,297.10795,25.5651299451168,1
6.87386016759609e-06,549.2808,14.9887492478439,1
7.69819532200017e-06,228.0371,-15.0280417297606,1
8.1565607770316e-06,520.08428,23.6467356870791,1
8.1758652767514e-06,401.8596,-15.8089877413827,0
8.22530783035046e-06,414.3576,30.0868606782285,1
8.25272040462724e-06,114.06623,-25.8881156495489,1
8.32628203559999e-06,535.3008,22.7174312052901,1
8.48066622831476e-06,535.26503,19.6110271345799,1
8.50786754123286e-06,184.99198,-31.6265282667601,0
8.51764638317958e-06,257.94889,-19.6487497086249,1
8.64317411914009e-06,274.187,-14.813111152147,1
9.24555776719682e-06,351.25046,-14.0837756555726,1
9.37172501770444e-06,543.23175,24.2232310369465,1
9.43034293814203e-06,325.0434,-13.784612259549,1
9.49105448394697e-06,571.26364,24.2400736088351,1
9.49618663634492e-06,265.082,18.8975405706763,1
9.61294264169882e-06,521.24887,15.9065444198348,1
9.82253323100482e-06,538.09846,13.7102461016289,1
1.00655124657828e-05,557.24642,15.2205837372036,1
1.0158180751321e-05,284.97237,-13.5655744539553,1
1.02619784560883e-05,104.107,-22.3273741353618,1
1.03414057462274e-05,168.02791,-17.3998099214318,0
1.03928247747105e-05,399.86231,-14.625572950646,0
1.06077056566656e-05,464.0821,-28.9475860813826,1
1.09485457565134e-05,283.94503,-13.3493837806785,0
1.11541646743096e-05,547.26495,17.1356526155313,1
1.12399241029119e-05,412.3432,18.6907438344476,1
1.12919070662034e-05,259.02239,-15.8683936473907,0
1.14331395185732e-05,400.34217,16.0506292234783,1
1.14788367062303e-05,238.0445,-19.8519673109732,1
1.22225313330593e-05,338.92955,-13.5326860821429,0
1.26628122289628e-05,164.03428,13.2146109748731,1
1.3163285379161e-05,611.14485,-19.2820985814659,0
1.35330216628285e-05,547.26471,23.0597273610883,1
1.3718504775919e-05,310.23824,-30.0093342072921,0
1.41062711958455e-05,493.25334,24.0802322686277,1
1.46589663315721e-05,265.08152,12.8683923512666,1
1.48462384088127e-05,521.24893,13.2107280816486,1
1.50751656654272e-05,511.09671,23.9208230240221,1
1.56574360347861e-05,219.1338,-16.4215850631435,1
