"","Sample","Group","C00003","C00008","C00015","C00016","C00019","C00020","C00029","C00043"
"1","BP_1","BP",12.4265665689317,12.1850980688508,8.96709167739211,9.16057797422396,13.502160080203,14.2351654626717,11.7452096267715,12.1234264230853
"2","BP_2","BP",12.34266608799,11.9430451097601,9.00986788603483,9.0331105314629,12.5477685824032,14.4035837221534,11.776015674378,11.8053752996396
"3","BP_3","BP",12.4742743465107,12.0963841986895,8.73930686275983,9.56854745416926,12.4620806007107,14.4364725061361,11.7124910440124,11.9822038973599
"4","BP_4","BP",12.4063196334959,12.7128547457328,8.83514633898057,9.46181150254075,12.2345637677704,14.7753463677405,11.6377823928624,12.210541158004
"5","H2O_1","H2O",13.3342855303932,11.7377540914651,8.60700273444858,10.239653520781,14.4068386629608,16.5324951806077,13.0815731938502,12.5151354320415
"6","H2O_2","H2O",12.7713710207549,12.0404887555646,9.31241055500171,10.0131756204807,12.9752926282807,16.3300447685261,12.7370558461482,12.1973375664901
"7","H2O_3","H2O",12.9063533576074,11.8429291290639,9.96544251185053,9.84339481457234,13.3670699784198,16.3559282023701,12.9188393746684,12.2431916790049
"8","H2O_4","H2O",12.7567082950079,11.697213266517,9.83185349601388,9.73812303219117,12.9076757049787,16.3046221096039,12.9697498130823,12.2715863352863
