Sample,Group,C00003,C00008,C00015,C00016,C00019,C00020,C00029,C00043,C00051,C00052,C00055,C00061,C00062,C00082,C00103,C00105,C00120,C00127,C00144,C00147,C00157,C00158,C00167,C00170,C00199,C00242,C00262,C00284,C00294,C00299,C00307,C00319,C00325,C00350,C00360,C00362,C00364,C00378,C00380,C00385,C00387,C00463,C00487,C00491,C00550,C00570,C00588,C00612,C00670,C00836,C00864,C00946,C01586,C02301,C02305,C02494,C02567,C02571,C02862,C02990,C03017,C03546,C03794,C03889,C04100,C04230,C05282,C05382,C05526,C05551,C05635,C06525,C07471,C07968,C08261,C08277,C13916,C14550,C14826,C17925,C19463,C20387,C21484
BP_1,BP,12.426566568931719,12.185098068850841,8.967091677392112,9.160577974223957,13.502160080202986,14.235165462671722,11.745209626771471,12.12342642308532,7.068259205271005,10.69564167168576,11.621601641585006,9.298357369794381,8.76562847143219,13.540271524033525,9.959146179022644,12.649929778229597,13.783454488125475,13.80498055689105,13.525577388886925,8.593453431033318,13.888388463009067,12.399770655799413,11.734422885536592,15.905670923279933,9.258398881366272,12.258450371380356,10.360045409791118,10.227558914447634,17.065268612468486,14.546274175623916,9.175328425736732,12.023418484846196,9.746606085134012,11.691798144190695,6.044953783375778,10.650670828659104,11.89869918848514,14.540759911903654,5.08955448503851,11.553198225598043,13.692299529711063,11.206072452282386,12.924442449286751,10.3495144637709,11.491844884666564,11.35467138526864,18.004694625193608,13.971881502618015,10.373440425724601,11.108671882162898,14.079855187850557,12.628183233653825,9.997563982799962,13.303288337922636,13.959682610249692,9.369993496995297,13.063597790433963,13.96777467063479,10.46360629979315,15.53749665472399,11.64279654766173,9.526548597308842,10.544246209776087,8.410485758654419,9.92619887940738,11.41742188372118,10.75427245310705,7.616772119580738,11.834410341927308,16.002785985493304,7.288741949288462,13.495355453902143,9.93871038518418,5.764538563062651,11.610428445812069,9.434363638245003,6.0080291441527445,8.624386165852238,8.843950173603917,9.316650230388252,9.615473422320429,6.957584482267292,12.058515279229974
BP_2,BP,12.342666087990004,11.943045109760057,9.009867886034826,9.033110531462905,12.547768582403206,14.403583722153437,11.776015674377964,11.80537529963962,8.11750392928782,10.310083708457478,11.666903628756456,9.446069862982416,9.03618090457183,12.602976204330895,11.048618759058755,12.821904472135332,13.413128666129388,13.850892369643669,13.75431177569367,9.185427149157501,14.340243125481203,12.778868847266954,11.862380140902484,15.395732517356187,9.008107872518272,12.389150859382811,10.62624112517639,9.795364794541953,16.51977039975063,14.217780773333121,9.536186129309712,12.051198052201753,9.642504739300204,12.187816207093599,4.374149075840719,8.066995778391068,11.238031082143102,14.20795474256867,5.062897383789909,10.651578341697945,13.344813721992338,10.922628066226778,13.162775742409368,9.579116646107321,11.993050167979352,11.236685579908238,17.961048070419427,13.481529557929164,9.865081621381156,11.095443009111913,13.695306601126518,12.885306757124118,9.539349648005928,12.960899885462808,13.761402188584412,9.600298591610347,12.082271141423472,13.950153694212728,10.402494395728494,15.272281575337692,11.615918152872434,9.916592938627575,10.982617935024338,8.548519607523794,8.679504682791377,11.169772900305114,10.717282546960561,7.044385666731081,10.347867763933644,14.984972068402792,8.306972695988195,12.80802611447117,9.900114965055923,9.389642722141756,11.510751844689848,9.366850862106167,9.18620196981242,8.581323533571117,10.210278653770622,9.16619621571138,9.313603018731394,6.849673287552773,12.085194007421498
BP_3,BP,12.474274346510652,12.09638419868954,8.739306862759825,9.568547454169263,12.462080600710731,14.436472506136107,11.712491044012385,11.982203897359854,8.133381412258647,10.519949250033363,11.630767729910442,9.3057759602976855,9.288205842642038,12.520056143316452,11.23572765243075,12.760949709428795,13.441080520446567,13.467581439752129,13.701328188145007,8.898239139522342,15.092266838146921,12.81930234891557,11.881558611530885,15.165316528080416,9.04467825228069,12.351056619942888,10.710269850775338,10.211061054632555,16.47287315334229,14.225410747014548,9.482110286967368,12.38552057887254,9.816849356325232,12.571188514006073,5.486754242429686,9.465915798534429,11.53165087941808,14.100164178272406,6.651992434886133,11.281938358772189,13.37978272378118,11.110032399102566,13.212562335839488,9.702304297088112,12.764041072953528,11.24572159767781,18.085619383835212,13.411807489841449,9.113250533917743,11.349604051826793,13.673256073327579,12.891973417499747,9.468231638258432,13.045595751209099,13.787318731881198,9.396044404863336,11.905421158594104,13.92213634539699,10.536576719403895,15.453804677080292,11.652084745185666,9.789016470567375,11.196947241148486,6.948502955770039,9.153244922238951,11.589800006417343,10.549766157264783,7.833071065697364,10.554743160423055,14.881755876476511,7.112976425173075,12.716836215265829,9.94706576541725,10.10568409602794,11.277697254099522,9.109132534061928,8.977807362166057,9.617645801413675,9.582384228786326,8.990175321117842,9.428476863651808,6.781818958151905,12.369572482666314
BP_4,BP,12.406319633495945,12.712854745732757,8.835146338980573,9.461811502540748,12.234563767770437,14.77534636774052,11.637782392862432,12.21054115800399,10.1815867714434,10.690417953470194,11.875303165993985,8.919673179227452,9.222684985774887,12.86360174232746,11.3270593286812,12.773033237067173,13.640029105057872,14.07603360855115,14.010010648738593,8.851833187526514,14.519215970364659,12.441489505931328,11.866920756960676,15.495572972160298,9.13240468238848,12.561649033191369,10.68075449327389,10.270082888452208,16.731127041910327,14.578725316364602,9.30826218723338,12.374862971466035,9.906675244434135,12.327135216084304,6.980822350348381,10.883298131907356,11.66872704920692,13.79886678699874,5.106850535559957,11.548339041231658,13.482357979032841,10.880224240942422,12.996131322317474,9.461155839690983,12.08775928647577,11.598278611311741,18.18230421926872,13.91790562885524,10.549953094666405,11.279941924782964,13.767591061336448,12.834749731857837,9.675568866443964,13.03793563071373,13.709067040903888,8.820068730594198,12.230196540617289,13.605390319836513,10.247136467372178,15.458626720540556,11.505708958910981,10.360608044616074,11.041884290011213,7.744716263349625,9.259810615312512,11.482232005850543,10.310562161215001,8.199331830399526,10.256732447955889,14.284888372397656,7.224645947930289,12.409654932555645,10.098768904827436,9.426607708274606,11.687164935358329,9.960473128064145,9.29346183011271,9.597919349163842,9.682037789680509,9.359740775936345,9.205502043316825,6.893488480909118,12.78640387893321
H2O_1,H2O,13.334285530393206,11.73775409146507,8.607002734448582,10.239653520780989,14.40683866296083,16.53249518060771,13.081573193850172,12.515135432041532,6.475144432259219,12.028427149130051,13.392457332130215,9.1846947243524,6.392439747051628,12.745245378713289,11.250440617964799,13.834129213687731,14.57216005886615,18.117911378889264,14.972214184695021,10.9938063888565,17.380279184174054,9.371450369400925,12.320454182984715,12.287847218528672,6.6436663731276315,13.451832977420437,11.904229817348417,7.465365916060808,16.967967839512884,14.768609468991167,6.898692422306684,13.173660407555314,9.609469424389193,13.519750016073049,11.125438612476126,10.150453982751756,12.441679661545118,13.195679223297674,8.635357172631538,11.787735459655115,13.459189785081636,11.388267054281982,14.994855007972976,9.65545552431573,15.055057353596263,6.12699418526465,18.554844991111864,13.37745242455831,8.990606240178495,11.771811784965134,14.82271010041259,13.99669790871522,11.967508803042117,6.036976976132371,13.7107314200925,8.3332628184616,13.07280164926765,13.38471577574193,15.03695506797865,11.076590201767083,9.886643106034608,9.154996727342208,11.263008861329032,8.382606758869164,11.55636871086073,12.754638583214716,11.388891918267113,9.425281136704443,8.906814204020263,14.408094780263566,10.08978011593862,12.33754896672035,9.802623187424174,6.440767148259552,14.181988288097294,10.85442866394734,5.706387308161491,10.520338897600318,10.763729319434322,10.244001667931691,9.466704294853317,7.75695895911507,13.894450314166864
H2O_2,H2O,12.771371020754852,12.040488755564631,9.312410555001708,10.013175620480737,12.9752926282807,16.330044768526083,12.737055846148172,12.197337566490065,11.852268133199608,11.947799791396317,12.505395598893799,8.546359593925345,6.6226191372748815,13.450472616755446,11.247237872732676,13.643026755785705,13.862425449792859,17.659482562464934,14.825049518153225,10.275601603135552,15.768312913879253,10.085690555498159,12.43973483346918,15.133929961045272,7.912864462700146,13.114878454856871,11.483427779790098,7.020763290803378,17.08785838177618,14.674785023355362,6.454089797049255,13.521882783771158,9.761176802200744,12.955857189436868,11.007641331089783,11.943577984612963,12.744125523875722,13.328272469418653,9.522317292558649,11.381131021504736,13.542157987828762,10.840881668725427,13.638648496012223,9.652858344319418,12.961776278669856,7.149990475511552,18.563489687332513,13.733596971904959,9.049063073411293,12.540554852395202,14.769866914569103,14.134983752833397,11.876000779418025,4.8886531761051755,14.70527451670014,8.969259386538278,12.64474192584634,13.809301353358837,15.211472156193915,11.117573766074175,10.95145642811009,9.859399934625612,11.987990065835671,8.484051873132351,11.208544458797736,12.816215788765108,11.408226013045086,9.976663373162404,7.684738489693514,13.43608484901009,9.43721911139282,11.558710460504042,10.147218341528252,9.358815920944565,12.709048311460895,10.606558309818247,8.196409430875434,10.124805720127782,10.016279586397076,10.104402177627325,9.097865245099735,11.242326933312205,14.741917973790027
H2O_3,H2O,12.906353357607411,11.842929129063943,9.965442511850528,9.843394814572337,13.367069978419835,16.355928202370066,12.918839374668373,12.243191679004868,11.92623791178836,12.072276238314405,12.783255930148306,8.156751699152359,6.863614535431952,13.560513968620429,11.226333105202455,13.941461394616395,13.927556687386703,17.798493233796172,15.099439331060491,10.433564798777844,16.93973690464584,10.178014275492156,12.340219743628376,14.735673257764041,8.627400573806625,13.054579090294242,11.547902788104377,7.16757715422507,17.523729192895306,15.180008540927547,6.600903660470946,13.566370390144938,9.333235057351855,13.4135716871395,10.771836767107365,12.010809440027826,12.645675555595078,13.399109283448091,10.15532823632282,11.462468464725001,14.199996261859951,10.823478385783282,13.823080498727995,9.107675395281786,14.506336281881211,7.082368799753912,18.677235132760984,14.137333551359704,9.477069028947213,12.333558419232299,14.885753792910927,14.255078839199827,11.95785724433263,5.129648574262245,15.31770808108261,9.06227244335758,13.036243516715354,13.67342375448319,15.315343270814415,10.40475268444813,10.732554903007163,9.675093027333519,11.96607185763665,4.057716360932211,10.387642345771257,12.489662497004877,11.17431847586289,9.947027106350928,7.698831026306956,13.476734577776485,9.429266294099344,11.56686556579726,10.235626934864325,9.249915701725998,12.271334652004796,9.855654891959178,9.532287035069018,10.389911104835921,10.300156432092866,10.122154221678713,9.136433016031532,11.614651377167428,14.21769516729628
H2O_4,H2O,12.75670829500793,11.697213266517032,9.831853496013878,9.738123032191172,12.907675704978667,16.30462210960392,12.96974981308225,12.271586335286319,11.929302269166577,11.971171507182948,12.667380505025806,8.175182410015838,6.853699333574401,13.36832974650264,11.310908282485801,13.937411909807166,13.874666716987322,17.604361133526073,14.81766086892367,9.757539187963605,15.785591416151558,10.205620688136577,12.35775264058422,15.09511325019898,8.738942851775894,12.821534717452439,11.727278789078058,6.96001337661578,17.309790119707138,15.116027518781426,6.393339882861657,13.478556862019415,9.367287690857939,12.891605029640496,10.82493545026568,12.012254840336867,12.646173823832576,13.131321974704923,9.4976550385639,11.667083916919731,13.941659243048118,10.76248198300827,13.58578965624001,9.064899581260418,12.739739524176755,7.034333885332941,18.430098908866405,14.11797332950521,7.320512523348322,12.384936937631476,15.00863901386918,14.224833308648956,12.02091643491551,5.119733372404695,14.907563606181542,8.110732944276405,12.875008707491325,13.246865926769697,14.848862983471518,10.081150576382502,10.507976013506463,10.03865937740332,11.936291982194426,8.474118299429804,10.6763552102795,12.475371136601447,11.20195226070642,10.229865645625116,7.6176248446008135,13.626713854251586,9.409464667960881,11.657918295685969,9.888562316282483,9.523495216915851,12.292635965295835,9.58827269460601,9.452070058245994,10.113745329771453,9.282594530922804,10.006547773775008,9.010483315123096,10.688398042248686,14.237290107300128
