"","DMSO_1","DMSO_2","DMSO_3","DMSO_4","FCCP_1","FCCP_2","FCCP_3","FCCP_4"
"Label","DMSO","DMSO","DMSO","DMSO","FCCP","FCCP","FCCP","FCCP"
"C00003","13.1176011975729","13.1489741398588","13.1452137766175","13.2383378266934","13.0446133510451","12.7354265673615","13.0762708067867","12.8961956049535"
"C00008","12.1466487213302","11.9538779262717","11.7353999484235","11.8721374817617","11.5870397851123","11.5642499196805","11.7450565557496","11.7747670605218"
"C00015","9.64547584578329","9.37899328239871","9.28353890680035","9.41455428942985","8.39043265856152","8.44740933184396","8.41065927441783","8.45244279463836"
"C00016","11.9159919384157","12.1471387925182","11.8307916025224","11.9570335163488","11.4354153184331","11.3865181657144","11.5411025870172","11.5644258905753"
"C00019","12.429102774216","12.6203419161934","12.6627869318228","12.6795926560785","13.6579665167711","12.8647659063409","13.0543201337404","13.0381633997871"
"C00020","15.275074158303","15.6686344206171","15.1603782874315","15.3499445804765","14.6058544485635","14.6891558233572","14.8083776499254","14.6833498531437"
"C00029","13.0037328629554","13.0613426784525","12.7168643928156","12.8733158029132","10.8553900345229","10.7622871575887","10.9361211960866","10.898913551614"
"C00043","13.0149205676592","12.9612502483572","12.5608316966861","12.7657633310619","11.9202099167826","11.9227320706369","12.0160987972618","12.132765585397"
"C00051","15.0125796705043","14.4992282785118","13.9370853780264","14.4765027866167","14.3143922747228","14.2011997790296","14.252129600703","14.0504744204762"
"C00052","12.2343255838205","12.3731118669303","12.0068158390437","12.2638531476947","10.172116935278","10.1448615033421","10.2109527345595","10.2802826203308"
"C00055","11.5177013221353","11.4886641995836","11.7407680240657","11.7092615392386","10.6398973715501","11.168572720403","10.829115660235","10.8725927247851"
"C00061","9.06653739427683","9.15581643254144","9.29046383511674","9.1277130141144","8.63922364149635","8.80121853403196","8.80401816906659","8.44481458156428"
"C00062","11.092648390511","11.0760159701542","10.744667686253","11.0266556554795","11.8447650090715","11.5975818729958","11.3904379200306","11.608145298137"
"C00082","13.1026875783536","13.2498328059469","13.4822380826161","13.405918490789","13.4182160483069","13.2151948422098","13.3687646372597","13.2699688221077"
"C00103","11.4528083491851","11.5213234760569","11.4176097397177","11.432705780753","4.93602328818536","6.75739488890369","7.12541451505685","6.50902573292932"
"C00105","14.1538786011515","14.2615435892098","14.0608321438605","14.072663923198","12.5458983822446","12.8339856498637","12.750407405456","12.759436296132"
"C00120","10.6868633090167","10.6363020430428","10.3727727515073","10.3709367698401","11.1346834300568","11.1024015668453","10.9789007544801","11.3353425904395"
"C00127","18.1610607573543","18.0379215896891","17.9652229928189","17.9330113805172","16.0757845819183","15.7761978019646","16.1716457646476","15.9593022674751"
"C00144","12.7834663682089","12.9293601271272","12.9129806357375","12.551272527264","11.8433683187289","12.322784687563","12.2318905329506","12.1352270699117"
