"","Sample","Group","C00003","C00008","C00015","C00016","C00019","C00020","C00029","C00043"
"1","DMSO_1","DMSO",13.1176011975729,12.1466487213302,9.64547584578329,11.9159919384157,12.429102774216,15.275074158303,13.0037328629554,13.0149205676592
"2","DMSO_2","DMSO",13.1489741398588,11.9538779262717,9.37899328239871,12.1471387925182,12.6203419161934,15.6686344206171,13.0613426784525,12.9612502483572
"3","DMSO_3","DMSO",13.1452137766175,11.7353999484235,9.28353890680035,11.8307916025224,12.6627869318228,15.1603782874315,12.7168643928156,12.5608316966861
"4","DMSO_4","DMSO",13.2383378266934,11.8721374817617,9.41455428942985,11.9570335163488,12.6795926560785,15.3499445804765,12.8733158029132,12.7657633310619
"5","FCCP_1","FCCP",13.0446133510451,11.5870397851123,8.39043265856152,11.4354153184331,13.6579665167711,14.6058544485635,10.8553900345229,11.9202099167826
"6","FCCP_2","FCCP",12.7354265673615,11.5642499196805,8.44740933184396,11.3865181657144,12.8647659063409,14.6891558233572,10.7622871575887,11.9227320706369
"7","FCCP_3","FCCP",13.0762708067867,11.7450565557496,8.41065927441783,11.5411025870172,13.0543201337404,14.8083776499254,10.9361211960866,12.0160987972618
"8","FCCP_4","FCCP",12.8961956049535,11.7747670605218,8.45244279463836,11.5644258905753,13.0381633997871,14.6833498531437,10.898913551614,12.132765585397
