Sample,Group,C00003,C00008,C00015,C00016,C00019,C00020,C00029,C00043,C00051,C00052,C00055,C00061,C00062,C00082,C00103,C00105,C00120,C00127,C00144,C00147,C00157,C00158,C00167,C00170,C00199,C00242,C00262,C00294,C00299,C00307,C00319,C00325,C00350,C00360,C00362,C00364,C00378,C00385,C00387,C00463,C00487,C00491,C00550,C00570,C00588,C00612,C00670,C00836,C00864,C00946,C01586,C02301,C02305,C02494,C02567,C02571,C02862,C02990,C03017,C03546,C03794,C03889,C04100,C04230,C05282,C05382,C05526,C05551,C05635,C06525,C07005,C07471,C07968,C13916,C17925,C19434,C19463,C20387,C21484
DMSO_1,DMSO,13.117601197572862,12.146648721330221,9.645475845783292,11.915991938415715,12.42910277421602,15.275074158302964,13.003732862955419,13.014920567659232,15.01257967050426,12.234325583820521,11.517701322135276,9.066537394276827,11.092648390510952,13.102687578353637,11.452808349185068,14.153878601151497,10.686863309016658,18.16106075735434,12.783466368208872,8.810751265218585,13.164351466301524,12.402983622420242,12.454659803717973,13.338721937125111,8.742930274505165,11.57138797520196,11.293026867879927,17.357189290013686,14.566440525737411,5.653113720800875,12.660298976697472,11.556008393083905,10.37474542839491,10.28027883939826,11.56239777881138,12.737622879237177,12.782753699453998,11.508407014451274,13.570723838355052,10.511903657831926,13.044014137496692,8.594278344279262,11.734123145617207,7.213865589849759,14.5815630147937,14.058446495260075,9.458743580307603,11.104627882688447,14.30105004743913,13.445534146569567,11.652476734425042,9.43643034587649,15.07241404444424,8.790179402358547,12.698132511991934,12.825139083175968,14.309669753651932,10.134228365742251,9.365632554106735,10.264195939498036,10.791714243493669,7.918620971321199,10.611035662882252,13.231160530762464,10.944687761115318,9.747864503527842,11.079837619137184,10.592026852251626,7.281705183229078,8.54035950505308,9.856573426663262,9.341544721801087,8.244605908652238,5.782930121266277,9.695547121161077,5.589813024091996,8.887298264960409,10.13161887218006,13.586926021101945
DMSO_2,DMSO,13.148974139858836,11.953877926271653,9.37899328239871,12.147138792518229,12.62034191619338,15.668634420617083,13.061342678452515,12.961250248357217,14.49922827851178,12.373111866930271,11.488664199583647,9.15581643254144,11.076015970154218,13.249832805946864,11.521323476056882,14.261543589209827,10.636302043042823,18.037921589689116,12.929360127127156,8.5411507970667,13.327991082460267,12.836647140843347,12.480921845268302,12.947885391752665,7.786771575896736,11.753571759720266,11.059225941664673,17.086377554739766,14.250806097656199,5.741883049925497,12.630411973227375,11.69010530272406,10.290875956500336,10.161840816295967,11.84002425048681,12.565126819476742,12.668390320923558,9.000513953131033,13.02886894092609,10.283575526292282,13.1609106312455,8.610996239048497,12.610506005142094,5.565649820989508,14.704637428158383,14.241285645744467,9.070191257140532,11.073580555355925,14.46660603548887,13.930931731880632,11.65168209778613,9.68457073469501,15.065953526524853,8.268110161680776,12.901788768656616,12.681752047646919,14.110367206866401,10.04245421117673,9.418847039339552,10.185840511405509,11.119823381966293,8.58337207510611,10.597530037694085,13.317505683884017,11.218263166357795,9.456660700189538,11.508240699181952,11.174056495831085,7.370474512353699,8.95190405335092,9.179247579755957,9.897140877307082,8.401888670459146,8.75302036162213,9.661084979882936,5.5992466119017505,8.613767474246286,9.616636357606703,13.750562925195672
DMSO_3,DMSO,13.145213776617538,11.735399948423481,9.283538906800352,11.830791602522368,12.662786931822751,15.160378287431504,12.716864392815559,12.560831696686144,13.937085378026444,12.006815839043671,11.740768024065687,9.290463835116743,10.744667686253013,13.482238082616117,11.417609739717653,14.060832143860523,10.372772751507307,17.96522299281893,12.912980635737467,8.33692523366345,12.611537836231363,12.427738929566116,12.201751952930248,13.106773340430454,8.536446051993575,12.182575003062283,11.153818069969038,17.5145910282697,14.87935289990142,5.777437951702908,12.819298690137343,11.296474563877695,10.91485942535641,9.823087632331639,11.409718319596044,12.242336117268115,12.59601363033169,12.223618534896508,13.73587917859149,10.321176233883929,13.048577364217573,8.906061431296354,12.448885331689794,7.670173006761672,14.420645201191055,13.742409327997478,9.210370387257555,11.302054566904237,14.257746061329572,13.32327717696426,11.455463033605511,9.050975082233176,14.699750231062858,9.054244524234743,12.526609868316456,12.4438584225099,14.05878373909625,9.716673800926559,9.366946626883939,10.059760814999464,10.56529555813499,8.3736762275541885,10.77870711815708,13.26826632717617,10.940199757899734,9.361752225666402,11.294493149198104,10.998790984363069,7.406029414131111,8.477234646600715,10.063889570362278,9.477692712883655,9.798853112520154,8.70877289858855,9.453416889667263,5.645173014002397,8.79262137988037,9.95626163776718,13.80675149058467
DMSO_4,DMSO,13.238337826693392,11.872137481761737,9.414554289429848,11.957033516348835,12.679592656078515,15.349944580476514,12.873315802913163,12.765763331061864,14.476502786616683,12.263853147694736,11.709261539238623,9.127713014114402,11.026655655479543,13.405918490788952,11.43270578075303,14.072663923198016,10.37093676984012,17.933011380517193,12.551272527264011,8.440139927185651,13.157188321630214,12.455419700932278,12.384621550647902,13.079716290429616,8.82413485936743,11.909692673435497,11.219261478944519,17.527560988789187,14.640024368571146,5.79528867264933,12.940660869133112,11.680164842939659,10.427965217634007,10.184246843990035,11.246985674159971,12.457698274406281,12.686564254601494,11.818136430205891,13.70628429864942,10.380663673247275,13.03023362198357,8.599457540462632,12.047891345757817,6.82158645553663,14.365395560321257,13.799659909546756,7.292659280343216,11.481105487281528,14.138791524714456,13.44456195298171,11.39113226209309,8.5523709133194,14.777470214261784,8.538780643590488,12.243876809423787,12.448602453483124,14.085856939109007,9.723443920495606,9.522372651777951,10.083424299879084,11.023281203522002,8.584432462509335,10.715956332344549,13.084267311958895,11.013367955756799,9.411939786732718,11.557658764280568,11.336014660521732,7.423880135077533,9.040427914644356,9.535160433997165,9.338913645447514,9.931316222526817,9.160363449838849,9.694729999593639,5.734907920771208,8.658119511848472,10.012399054826009,13.702824470133796
FCCP_1,FCCP,13.044613351045067,11.587039785112323,8.390432658561519,11.435415318433137,13.657966516771108,14.605854448563484,10.85539003452289,11.92020991678256,14.314392274722785,10.172116935277971,10.639897371550077,8.639223641496347,11.84476500907152,13.418216048306878,4.936023288185361,12.54589838224461,11.1346834300568,16.07578458191833,11.843368318728857,9.23825400679135,12.729512589483267,9.588556796506996,11.207245925729532,14.225257974308876,7.883306028235008,11.737824199207825,10.32797560437804,17.259284494255123,14.009213168186893,8.392967378872912,9.364337834517961,12.290433972256649,10.350434320201147,10.341975979628444,10.195174704741365,11.855657410997814,13.081725045388595,11.639408161013131,13.656776665705278,10.935708415571176,12.983377811241082,8.482133292667292,12.000877191109733,11.154038447482177,14.419931420537964,13.94954224914984,10.545694867088432,6.602912057870771,13.858534223085673,12.372269940807836,12.04925985149869,13.794545480121252,10.615678020772663,8.875776637314116,12.619157754130567,13.355388168337553,12.980918068602264,12.783318201667837,9.91695995870804,3.1971622496457983,10.554267367708297,3.3537352420241926,8.981405325985506,12.526464876951067,9.835105736717292,8.346896122205253,10.122858486036336,10.883056699333615,10.16059215187122,9.077020692272518,0.3752809586958241,9.402016510383353,10.061960315172602,5.888534506054793,9.799583265037745,8.334608475232965,9.117010683779151,10.16862934270156,13.035544905724342
FCCP_2,FCCP,12.735426567361507,11.564249919680472,8.447409331843962,11.386518165714387,12.864765906340903,14.689155823357211,10.762287157588743,11.922732070636934,14.201199779029599,10.1448615033421,11.168572720403045,8.801218534031955,11.597581872995795,13.215194842209819,6.757394888903686,12.833985649863694,11.102401566845337,15.776197801964631,12.322784687562997,9.313100339674007,12.055394791686606,9.577234688841763,11.040200557414195,13.902083833250611,6.961358205845969,12.053340682766967,10.290085979583997,17.329187422369877,14.47468539985572,8.151241333820979,9.562417003968607,12.23965547627432,9.924325260646011,10.180000583004276,10.417552472158663,11.798249914405549,12.791493388750412,12.017017839778138,13.968679584391698,10.807505573757803,12.869306433866273,8.758445873510276,12.171209097844567,11.23471537080117,14.282723940485912,14.052608702011511,9.258266088067472,7.050681714744678,13.656660877441254,12.49411978469351,11.895908575445286,12.853927868908405,9.45466711721447,9.073504070758215,12.995925248281237,13.0318885912007,12.683005557209572,11.967502110519204,10.062323216700968,3.1858401419805658,10.962651995116621,4.564579970266117,9.598595283122819,12.658940699149056,10.021575164307482,8.618503948077777,10.063987459581314,10.664212499042327,10.249274058598012,9.36399953516299,7.623373913040454,9.383300963481082,6.602694134161806,8.864264325066646,10.019570884923732,8.727799861923906,9.220301807671394,9.528326769412507,13.200948654762703
FCCP_3,FCCP,13.076270806786729,11.745056555749585,8.41065927441783,11.541102587017166,13.054320133740351,14.808377649925385,10.936121196086605,12.016098797261813,14.252129600703046,10.210952734559468,10.82911566023501,8.804018169066586,11.39043792003061,13.368764637259721,7.125414515056848,12.750407405455954,10.978900754480087,16.17164576464757,12.231890532950553,8.984589912223658,13.001614121290034,9.684591921969213,11.449167528073655,13.85366014335522,7.977959797983772,11.437412083729468,10.195494522396483,17.377168406805737,14.103696488291583,8.282076586721857,9.639810183803283,12.084921044593763,10.851128035882162,9.914071349141473,10.698795598228948,12.0502037641249,13.059707050680249,11.777541026891297,13.613529960246007,10.910426205371706,12.866801258721932,8.770987296070873,12.749268934584617,11.295920643882994,14.437053649364,13.892997068138877,9.587587505807795,7.204608532588678,13.676648824721966,12.671802424812094,11.895931567406477,13.32032890324935,9.829995553250395,8.39749984306576,12.110913059980966,13.249300549658805,12.681080246855041,12.410908368215381,9.97223257600723,6.137652241956013,10.820971291132041,3.449770367486411,9.324862340448998,12.563601671975752,9.953824244914777,7.944544086470508,10.07040244109831,10.772898430728002,10.035071392346387,9.154029232429446,4.25184207078617,9.467662591576294,10.120303702563847,8.749946128556713,9.762320022796764,8.399127515100314,9.215418801514293,9.900922833573222,13.28632759185717
FCCP_4,FCCP,12.896195604953547,11.774767060521778,8.452442794638364,11.564425890575261,13.038163399787146,14.68334985314366,10.898913551613976,12.132765585397031,14.050474420476176,10.280282620330752,10.872592724785056,8.444814581564277,11.608145298137003,13.26996882210769,6.509025732929324,12.75943629613203,11.335342590439453,15.9593022674751,12.135227069911716,9.206364747092735,12.82756727129359,9.371325245152706,11.23002526942002,14.071243274120674,8.208321916111458,11.718541614509752,10.106607257438325,17.217324771095623,14.007030786012928,8.454026213147529,9.870755545802478,12.231291164587038,10.105196111587718,10.077658736868068,10.797911498983705,11.636916698639247,13.223097918750378,11.742678009557308,13.59720705423711,10.800856699918837,12.985318487927445,9.245577600577276,12.28351274598979,11.501458577980612,14.124679920094795,13.987691160194794,10.08405796843811,7.4294281234689,13.836830651667595,12.549743094982238,11.975373249480088,13.276811247681227,10.075692039719824,8.696984238328826,12.35502363651409,13.169872223702743,12.858012155205301,12.390797036752444,9.950152606505458,5.781309052098543,10.735005428559875,3.136503690669903,10.111376038485385,12.608129471619428,10.140980891005142,8.541257731207768,10.204660538542765,10.675871161441034,9.992586641082632,8.971111941556709,0.11067324133339469,9.601138974879943,8.230649870988342,8.5818689519964515,9.9005599318620785,8.84751709428753,9.349005184358989,10.183069014454114,13.339560270007164
