"p.value","m.z","t.score"
4.77323537133366e-08,331.03027,55.9218648359776
6.18736384269296e-07,266.05663,22.3550926007993
1.52008173507995e-06,343.03378,39.1984887254401
1.93383100718022e-06,81.03359,38.7418053717909
2.99184611040695e-06,343.03385,33.3998871837174
6.13607497856454e-06,550.34095,-15.034781564709
1.1661632142504e-05,423.00038,30.2126900844422
1.37990886554068e-05,331.03585,13.2096360317927
6.58544028722672e-05,602.07903,22.8058467062917
7.80282452246698e-05,343.03402,17.7606864345229
8.02686868215824e-05,365.01576,17.9035561571292
9.6144365700743e-05,534.884,-9.17794857797318
0.000108249551546413,343.03376,17.6274373553791
0.000112929564071337,462.28983,-11.2706254275552
0.000123602651586887,518.32087,20.5938571081336
0.000127008145174604,365.01612,17.6882066775045
0.000171628887495173,626.07981,19.0593742834921
0.00017278648290301,361.03516,19.2495538379098
0.000198959426241118,229.01191,-8.25078186244388
0.000205426330796773,506.31363,-7.9886610384342
0.000245085076623233,192.06551,-7.7365979040263
0.000303436618158668,535.15416,-7.44267001269461
0.000460947422102395,260.18533,-6.89137267987793
0.000770166999388197,640.46414,-7.58649988096381
0.00133987005978209,160.04259,-5.65642967839918
0.00168057492708441,353.11671,-5.7633938483124
0.00175411007987595,409.61176,-5.65812725593385
0.00176951031922385,176.07067,-5.40737566313232
0.0018240217205434,400.34217,-5.51513849398753
0.00187434865858754,160.07575,-5.31658037837113
0.00187570223656737,270.91337,-6.56356158883472
0.00187946312269887,240.95252,-5.42348531792799
0.00194297568738827,307.08347,-6.75761126882661
0.0019528620464359,160.04273,-5.85339123178008
0.00215567246129889,684.45522,-5.47440468186807
0.00219455508981674,575.12951,-5.18071527504233
0.00225187886504129,305.13178,-5.27907178986882
0.00231156901243838,146.06019,-5.41285105837505
0.00241032578759665,156.10199,-5.07922650201605
0.00242408212685574,354.16589,-5.7665929605677
0.0024624934370851,178.99277,-5.7582463442026
0.00247404457133456,205.09705,-6.8981958242285
0.00254518242023485,341.01947,5.89451488835371
0.00259828875004221,302.04922,-4.95263945507573
0.00279336270338986,171.05981,-5.04090684112291
0.00279799650971946,653.18048,-9.01681091358313
0.00285971193951242,352.94497,-5.72379316314099
0.0028977932302396,592.53913,-5.81456108713771
