Sample,Group,C00003,C00008,C00015,C00016,C00019,C00020,C00029,C00043,C00051,C00052,C00055,C00062,C00082,C00103,C00105,C00120,C00127,C00144,C00147,C00157,C00167,C00170,C00199,C00242,C00262,C00294,C00299,C00307,C00319,C00325,C00350,C00360,C00362,C00364,C00378,C00387,C00463,C00487,C00491,C00570,C00588,C00612,C00670,C00836,C00864,C00946,C01586,C01657,C02301,C02305,C02494,C02567,C02571,C02862,C02990,C03017,C03413,C03546,C03794,C03889,C04100,C04230,C05282,C05284,C05297,C05382,C05526,C05551,C05635,C06525,C07005,C07471,C07968,C08261,C14550,C17925,C19434,C19463,C20387,C21484,C21581
DMSO_1,DMSO,14.002069086623345,11.821789674386942,9.353003723905063,10.211760263485797,13.537675780263935,10.934296347906788,12.546561744362004,12.944336846895101,14.309132824349435,12.304779609996169,12.624994465540135,10.898414263067451,13.017139470049615,11.285093684085924,12.745546995175907,9.79302663212132,17.912432617245113,14.008554295238179,10.15378786492044,16.99340327911525,12.314084008562228,12.43359186414518,8.07409902180347,12.304225479390798,13.248833977210007,16.943862133139536,14.360265512950267,6.583885759665594,12.323064672084529,9.154338521673894,11.407056815139233,9.828450920536048,11.881756841611912,12.19704608081848,12.32918055022896,13.0494433886261,10.596218552021924,11.990420832137048,8.819258542583553,7.52630944693843,14.17733780298579,13.888058730677196,10.538290409258861,10.785051523538197,12.621769489000034,13.531360417025116,11.800405968735129,8.151533371827034,11.608188636964444,13.900415233110277,9.25214135665153,11.43344420773248,11.98843334236459,13.525204988108616,11.705477695058368,9.411525027675678,8.622805123491501,10.334811179729614,11.678315572552636,13.430705760557261,11.26760701857967,16.00972883943913,11.446176145181603,10.610015402296074,6.144066836371307,9.535250532663147,11.096361394770458,10.187373712567867,11.419091380950016,10.618482162109602,10.787036076425013,9.82737387572121,10.105108663843286,14.194680300075998,10.941191665276664,9.902883837093805,7.815182987102489,9.118171879555014,10.574776021523336,9.346483927268185,14.317628992854802
DMSO_2,DMSO,13.124020210876292,11.735011128438444,9.776649850610907,9.429022075783324,11.485185885475625,10.535691740022353,12.6049658044749,12.831456241050308,14.73768480059997,12.07999131921297,11.59794125917246,11.272314096131074,13.211357483088388,11.414043083375747,12.93394955122982,9.9666698680971,18.041007187020423,12.819550600677088,10.120569424961378,13.93261109242374,12.411509869469452,13.595271970257324,7.491630794201216,11.638045975060304,13.284510384417333,16.573738919013262,14.142668125166514,4.949330439395689,12.893833761550995,9.269897117393503,12.175745489396588,10.281804111135662,12.148767636200464,12.333607046839662,12.377121669213551,12.772636281567125,10.344659800770767,12.270680693884854,8.638497896867277,6.991540451071104,14.871580488552727,14.110596047461904,10.501698081788183,11.26805586890028,12.522134238486847,13.77628500656355,11.73208960483967,6.325390899154998,11.91424519915987,14.409046613200953,9.294112574559819,11.187334982382728,12.320177811464681,13.74389247785801,11.920040311914404,9.205385031992302,10.441045600549334,10.818035084079709,11.845858928709507,12.702317260636415,10.989218151294391,15.966039427033557,10.261851354004703,10.842727034853509,5.225233295955202,9.827543416099358,10.489025191452564,9.370871532204195,11.265427313878387,9.814118092762573,10.659984187741234,9.11946198080486,11.642699952114624,12.598198810297536,10.070569770307594,9.727050033059342,9.457457277008375,8.446019818566453,10.016214098735896,10.218722567457185,14.782030290121345
DMSO_3,DMSO,13.146702980969668,11.744596975964466,9.67531174578712,9.575161861043389,11.867048952780486,10.505804179356693,12.574962323758005,12.697218902843133,15.064806447700102,12.092267399635196,11.662005740519021,11.439021071303237,13.164804540205639,11.302227761869343,12.914970391685856,10.075745269125528,18.205732839427313,12.722006879437235,9.897509830722155,12.103815630152749,12.426128861060405,13.630475501043174,8.48117895991944,11.498333280352398,13.24882010501273,16.699481150908287,14.10132588610108,4.914762448262932,12.966902986649997,9.232416108563864,11.936009791517083,9.77550020848599,11.424842707966965,12.191574012006198,12.417091952163862,12.832940795598583,10.38555212150723,12.180102479681281,8.338729721951452,7.010727238617653,14.637465899233707,14.200749296486347,10.092072514469205,11.354182331135483,12.428708977923868,13.771095604899502,11.529170480296477,6.35993503471685,11.93308247848781,14.67755782935179,8.945635284324199,11.587454018980857,12.421230624926796,13.833471075750262,11.782106421895353,9.54740582658482,10.258551890744057,10.655976748590499,11.680065049883474,12.599986741505043,11.268710855978908,15.863311666549132,10.378275196933181,10.80815904372075,5.190665304822445,9.434741692265856,10.380685716931614,10.026671285384957,11.147316643222345,10.230680151063964,10.91202102143637,9.483696404134802,10.30325230526796,12.604955899765773,10.314539885015222,9.851595825936128,9.250458380104847,8.571729272485447,9.586875960030547,10.350050476927038,14.816574425683196
DMSO_4,DMSO,13.234749581042907,11.648476412040482,9.449312335083855,9.78041366590994,12.533442667710158,10.564046824152449,12.464176137801719,12.646294361637729,14.906866987949464,11.86308975808648,11.687252557418343,10.937777516578851,13.074132447408372,11.316721270727351,13.021168198358529,9.991600259272197,17.953886397170237,12.705420966971467,9.629836078214675,12.869366444110089,12.18927993522364,13.318440849965512,7.490842345527742,11.75685226062539,13.269185371869435,16.81555804175649,14.275121528003243,4.855414392437945,12.88838797048304,9.393128853166067,11.89030224565014,9.782327768751333,12.163274948562236,12.221659871807265,12.399129022430078,13.20656790308853,10.145128552978102,11.947420423786756,8.260127611420586,6.926092772209033,14.600708612839325,13.960847314863798,10.037760828667057,11.547463422942679,12.574191625851382,13.780152420346187,11.596830277314867,6.237874144700644,11.754927495403924,14.35496664804143,9.359928272896834,12.180948592278028,12.432357364471343,13.773996374688377,11.573307627176998,9.696894428916671,9.915404508598614,10.219332248723598,11.58932166325067,12.660255881700872,11.130243947065718,16.123862591127914,10.178812825891471,10.748810987895764,5.1313172489974574,9.342519154012205,10.454685845575371,9.81292535113305,11.193693377817965,10.3915421997335,10.575934405112868,9.08583400405293,10.243904249442974,12.711427197519741,10.480264195341926,9.752862962923956,9.40780162996434,8.455497769594688,9.695368391488174,10.456676540135385,14.69451353566699
Simva_1,Simva,12.891157645905064,11.672801476284286,8.931834183169418,9.265361315167445,12.224754926970782,10.275971616528054,12.044756163077885,12.178354298662702,14.290118867882676,11.800361818402347,11.194676666385067,10.692729043722885,13.255875318617623,10.324494089067207,12.484832915498338,10.571388109954778,17.6179247296199,12.505643370679618,9.406352079189134,2.220621944737298,11.96577964122669,13.034625169988008,8.23339411379973,11.900026688693897,12.979178173061968,16.73412070832236,14.05629996188949,7.24764908212164,12.429802385612891,8.756069295813413,10.114788954176277,9.319194020383378,10.76344910563146,11.638287289855842,12.31750517114701,13.123050429581106,10.125225281560144,11.468405434910412,8.16519949847559,9.685174785085787,14.257025465851667,13.79677773442386,10.8767518573946,11.507802401079273,11.338251725298507,13.219822967778939,12.121028631770384,8.614261795679338,13.639939129935632,14.238689476723163,10.554333678322548,12.240950370701071,14.169475166292468,14.231801956023903,12.955163233994723,10.393193470087146,9.321296246718992,9.516047534543693,10.78750956957582,11.965406288726571,9.753700636186757,14.447213315496162,10.015198375814578,13.519232722890159,11.867222424900893,8.994908406947374,10.175770754506237,9.259968910066302,11.63814220391173,10.258864481919959,8.438934936385735,9.095422515526737,10.183272281087405,12.258429726351332,8.727520429722665,9.777169880000114,9.753115503235623,8.516087787019588,9.617964204551598,5.877327157303778,17.294979623118454
Simva_2,Simva,13.139696422826557,11.917450359511072,9.355376844671778,9.427718201146183,12.807726153129934,10.412669083214764,12.172218219378866,12.285510919981496,14.426390240468935,11.87654071386473,11.741726931557563,10.80970860042135,13.307665081356443,10.912816192688043,12.654165626374187,10.793629026774695,17.782175231474266,12.749234894465955,9.551991433366416,2.480476064472655,12.104601740662178,13.223684111217695,8.186824990634822,12.160722550095617,13.169181048308124,16.361242330292427,13.872451457984615,8.314914498538306,13.091118456429392,8.80749799931135,9.898882192888479,9.293570543038816,11.742085900444597,11.920820440825109,12.532549579640984,12.745824203887592,10.248386980741977,11.524862241955134,8.113831174439104,9.953036941698567,13.956994607839755,13.677538108125479,11.314219365402417,12.055834160909823,11.635039329071404,13.525242788683274,12.274849407765162,8.138087768978263,14.341302663315387,14.45887727934379,10.94976244006094,10.895361657223583,14.438450896952453,14.426991437636092,13.797703859480862,10.563114812920812,7.310128222655694,10.06617226402163,11.466436946259494,9.91265030332396,10.101899524825892,14.762850799766847,10.25247580724996,13.908079373770189,11.555009733907925,9.181142244129699,10.081441664262243,9.446171792300577,11.99005083270461,10.515137537158548,5.7275838403938035,9.795858784746585,13.178519371872259,11.924689369580705,9.617501549323007,9.757339437153082,10.585581306198897,8.848851423622323,9.360300455541372,5.860296918709145,17.43065706697364
Simva_3,Simva,13.166217503053774,11.82264173741039,8.630838155805696,9.705818448321201,12.779118533662977,10.323152219402683,12.145428131706904,12.237293124630089,14.184363886066027,11.752404820531488,11.595876896851815,10.78630172541548,13.236222119390137,11.24700578628866,12.57320077450847,10.536074540687487,17.72832520158952,12.858625113893266,9.459134886724089,14.910184826369031,12.044361696693768,12.95340322716263,7.225041417845071,11.952609290790313,13.014721830012263,16.342201605660836,14.085264037453742,7.951688875951618,12.85706569168071,8.638616211361443,11.183408183878829,8.824350817784785,11.666404125235086,11.889877153042205,12.352692428900768,12.697401104227163,10.231801155494125,11.423717075011504,8.24321997660611,9.675175357690312,13.812495813432289,13.83704855485107,11.501108950428682,11.777317124728533,11.529357391868002,13.514255557038863,11.87991607086806,8.241203798056633,14.155551325455058,14.399000035105907,10.688950892915804,11.0537294365985,14.128041642960339,14.336885794483784,13.51595511157717,10.41105409688501,8.506393459115607,10.277985081631645,11.386263123364182,10.830467975971612,9.952754211196023,14.434760520862866,10.19782398201403,13.659426653267108,11.575422940106153,9.264153601446216,10.548871739963802,9.731703450152365,11.646002421488044,10.584806681091523,7.764741770655419,9.70229431187766,13.00151135771844,11.954913608699194,6.51215539902251,9.569903659239309,10.411791000981381,8.342182104034126,9.114930084491904,5.798472473058663,17.2683232123139
Simva_4,Simva,13.008936857946615,12.070344163970397,9.21107074855432,9.306257804458893,12.295545296233373,10.241685340631092,12.308578090669892,12.55108692766558,14.630249106291583,11.919686211163075,11.372185820279526,11.274840403427802,13.404573420029944,11.168273009432806,12.472332631131938,10.63104533329199,17.740707219823136,12.439898673253525,9.847082331184106,13.972567828194128,12.109025779674903,13.242690558338788,7.839866727465689,11.547640571761029,12.938653043115494,16.449434859867278,14.117623619164657,8.189631937487503,12.955914246690368,8.79104787367854,11.803317945131308,9.57549165729016,12.03502462529488,12.200914521035369,12.401586562841487,12.612549700721774,10.098968208196702,11.743615773710497,8.017698421160631,9.96133201060706,14.09859466038077,14.16070941711667,11.58327674980746,11.819241670438103,11.99987784058373,13.432036872770487,11.955507111467904,8.24376511815711,14.067559480272566,14.177553178218458,11.012471980080013,10.776835419769476,14.044316107593747,14.302691329281021,13.382338408329417,10.303222537782771,10.11487825596447,10.506982665236285,11.39253575093891,9.192892970135107,9.636289798775698,14.690887205679507,10.371823048913102,13.529439057657491,11.177285924957943,9.69646718746751,10.138121021013841,9.34862543691202,11.635313929915112,10.286362235879887,4.885877639982842,9.616725611152832,12.634883437128982,11.50197917464497,9.670872055201254,9.695541673053803,9.919348529190763,8.649515928904094,8.89554933471744,5.861841213035618,17.28794099711725
