Sample,Group,C00003,C00005,C00008,C00015,C00016,C00019,C00020,C00029,C00043,C00051,C00052,C00055,C00061,C00062,C00082,C00103,C00105,C00120,C00127,C00144,C00147,C00157,C00167,C00170,C00199,C00242,C00262,C00294,C00299,C00319,C00325,C00350,C00360,C00362,C00364,C00365,C00378,C00380,C00387,C00463,C00487,C00491,C00550,C00588,C00612,C00670,C00836,C00864,C00946,C01586,C01657,C02301,C02305,C02494,C02567,C02571,C02862,C02990,C03017,C03546,C03742,C03794,C03889,C04100,C04230,C05282,C05382,C05526,C05551,C05635,C06121,C06525,C07005,C07471,C08261,C13916,C14550,C16633,C17925,C19434,C19463,C19670,C20387,C21484
5FU_1,5FU,13.166056637043297,6.9775418587905875,11.006613539823233,9.8251856300027,10.341892243051467,11.905528898880515,10.869072058400635,13.451265317050845,13.342491579275388,11.489573166675974,12.411509322686948,11.149463161112136,8.338244637189169,11.476157203274738,13.248514145260328,11.376185123929043,13.145942746409487,13.7425313696437,16.690249262995707,13.944961924049075,9.350535015350095,11.525776007022275,12.475572254530784,14.570686457613688,8.31241103603472,12.504372004350962,15.920697414948098,16.744306021659533,14.338054591944584,12.948725550186822,9.202224498236145,11.725982567286938,10.703625544840342,11.732202287069844,6.365097269553138,12.085334560285322,13.246514003805604,7.902614184524367,13.129953068027357,10.48216187829558,13.320035546331118,9.774297406124058,12.5012017703936,18.117755456648638,13.645245303895077,17.67224083730613,11.808065252382614,13.017593373814302,13.740767009249137,11.46459855007327,8.55166549930702,9.926278933916272,14.525227720050491,9.183340902971372,12.296267754611904,13.011966670921165,14.224592540803977,10.859669270349537,9.633661730360446,10.4074365531668,8.673056486083654,11.945797780762467,10.588343056620529,10.899644023418011,10.213323070688462,10.655736090697168,9.760745147015502,12.729278107203378,12.984506238910036,9.552807095078748,10.387555655952653,11.083851628863508,10.017344703573418,9.872107158797853,11.523279107654265,5.083357890610045,9.61336761850298,14.28174409602194,10.518872338729171,8.245709279235545,9.020250559540552,10.040493783166665,10.523643103398049,13.567402327836662
5FU_2,5FU,13.10836209521976,8.081611351348133,11.233547765093796,9.247657773893298,10.31682369771259,12.468261499134428,10.956976268047416,13.029440675862238,13.06387278461874,12.645908704467638,11.918085585995092,11.91142360979013,8.766966623403874,11.22339435654524,13.200456574352108,11.371170115413033,13.28570232120361,13.732874454457427,16.787063677025944,14.149958235793127,8.964820839788745,12.94587655544994,12.181193133317027,13.916337489958336,7.438010029577599,12.539755289917208,16.244624449924732,16.575066878455576,14.331682836155398,13.052782121147226,9.24242352162898,12.107692730015664,9.861369267779228,11.838761557717485,5.142335491093013,11.93376432717195,12.91893879345814,8.727531719214737,13.124383777851355,10.396635284277021,13.083883099910526,9.208547923634937,12.889473242320832,17.877891937564545,13.41721452726804,17.030734560299535,11.937782521605113,12.9449457302118,13.867406521141632,11.592273042820612,8.487702999744197,9.900550741250996,14.362662494791161,9.138518902229707,12.7982740154073,12.948771196208797,14.102332430607715,10.400837799373985,9.390989192172416,9.969789196759224,10.000057867123191,12.032798301402178,10.178836581723989,10.651035143407618,10.269190311328334,10.708667027840189,9.42308857102177,12.21819653074894,13.176055030706026,9.607821456915064,9.013237397962786,11.236264300364995,9.85131305652251,9.475969421408461,11.41894144925196,8.695087325509641,9.365696389780423,13.865762332567476,10.2736157013405,8.572954175984794,8.674851320148118,9.203188336763917,10.39880634525408,13.43210922034933
5FU_3,5FU,12.674826095196645,7.2706958058482885,11.188987450170776,9.137264794266605,10.337862113665874,12.001401722665694,10.759414279846064,13.266101914997456,13.177854347478698,12.438817512123826,12.031797324246028,11.284696180105295,8.560751223749115,11.241387573104534,13.36397788395183,11.685375921984637,13.175288056547975,13.752503860341887,16.70529113340728,14.213390951386781,9.218451138739278,11.557839596286508,12.254428417887748,13.933059250695203,7.385597543132454,12.284235825620764,15.955017953120338,16.62212619257787,14.469431510521222,13.025611987779833,9.272874834802716,11.419266889132603,9.924041873403615,11.690548531712365,9.371158307666546,11.709722554812371,12.906025070654541,8.253681587228053,13.094242784466273,10.49831121473185,13.178177172510999,9.801292210729013,12.872331980608672,17.9418243750943,13.545292664658193,17.239654536191438,11.857704353633011,13.163186443311911,13.895047726650589,11.56078061131547,8.608228637355255,9.896812370345307,14.400205642822154,9.131774410680073,12.51977683038669,12.753030754377185,13.994307078878196,10.683291564085875,9.713293089941983,10.162951370189543,7.977680166376594,12.048121856917293,10.437079919565097,10.687111369313904,10.22828190990136,10.649344914074796,9.442471200522004,12.38698216082146,13.058942221392176,9.5858031627837,10.08143722555911,11.081061692265411,9.624239771159163,9.54356902895894,11.294827993705063,8.587943722195108,9.545515114744433,14.118557957621343,10.320838229828825,8.038891550729515,8.61685909480666,9.785862697840056,9.99467766958155,13.502303703684609
5FU_4,5FU,12.91491854099202,6.932260595370016,11.423989113011553,8.98007284532309,10.11034558949372,11.813234972971047,10.80695704864603,13.02047191914575,12.973689154179675,12.470564118539778,12.080283003152864,11.74503649488935,8.125184887750645,11.32204937828915,13.227106995955078,11.449705472830033,13.101570393023298,13.747910118867212,16.674650102404648,13.976249114257087,9.047038913652047,12.98851486328276,12.15969292850881,13.606848955290276,7.5321850486904385,12.269454264822148,16.175326497500606,16.520682589870955,14.451624090399068,12.96985742961456,9.037712089008465,12.321695099817665,9.677641779099277,11.78901648139524,5.196599884078155,11.629063622067779,12.891916962759868,8.301213253875819,13.127037145035809,10.303516545771494,13.036316372129594,9.707514234876813,13.448570603316758,17.867111703681648,13.618485453616461,17.07357208390044,11.796033570595764,13.0028493015437,13.825360155681222,11.53871966547363,8.281500668808105,9.733514695403104,14.187668354583591,8.906663565541843,12.076358907885885,12.687765749067692,13.946419792172694,10.432706187402138,9.2927129151946275,10.336157320428944,8.997945399434478,11.642488709949914,10.252172421052302,10.64153605131075,10.194400791888032,10.616198252341276,9.74634985678174,12.43465534074308,12.905739734404008,9.408921937702729,9.94350170687621,10.957481823792813,9.500198576954315,9.680852762622363,11.181197589444238,8.568283120964546,9.60438388671364,13.91109608372339,10.22815139296934,8.170006413997037,8.459306523495965,9.473376773643437,10.379975642120518,13.724541019884338
DMSO_1,DMSO,13.47714384882755,7.620132116211264,11.406328171672785,8.999064185366555,10.648559092790762,12.929695761296482,11.235694746301617,13.363600988391442,13.572587025661285,8.565554931195779,12.097464363487829,11.77418319414651,8.724557244104957,11.208641441768872,13.094712996097547,12.001276081705033,13.309263941204627,14.063785036021148,17.207232201948234,13.465372079397747,9.45887783259644,12.427583119391832,12.530432721511152,13.774793548240455,8.256727488960818,11.847653753169125,16.993013829005168,17.44878987778509,14.84183394428393,13.531595622531341,9.378077762565713,11.957407657361408,10.156596412415936,11.400540456004284,12.226928990640301,8.991741105490854,13.165988014327212,9.32493930339753,13.966577115971884,10.893583148438752,13.201237629511889,10.214336099829907,12.332053591080129,18.389884738448487,13.774285773952887,17.781856261416245,12.380570378701858,12.791127771075734,13.48729794320608,12.055951673109726,8.56961082844293,10.420891592110559,15.347291771589518,10.061735055590308,12.564068250897487,13.721739621307512,14.926193253917704,11.472212829192513,10.497554142731243,10.530110052133226,9.577084079884198,11.150445485345411,8.34914300296735,10.970884100583595,10.3150851477771,10.841473175192998,9.855486425733526,13.02735563493962,13.483630525794128,9.930600199650456,9.70048788259764,11.450635410593675,0.8260009659745294,10.470703714899521,11.794114707344447,5.190977713179481,9.439541792845043,11.597723271179458,10.506994739199934,8.700781594999722,8.838072280324202,9.682548573195358,11.136637819566442,13.589845376182737
DMSO_2,DMSO,13.37250402382853,7.124666823493224,11.779969761044809,9.241861388442743,10.395079846463911,12.45033099748909,10.857840701674984,13.229516934462756,13.245017541305883,12.293956315509096,11.97012608275652,11.814296560917061,8.524160354076573,11.668558223998078,12.942202697988758,12.23785036612373,13.334383736516596,13.652915660478287,17.121199726056325,14.16080080453977,9.618930831285972,12.759514388266473,12.639503827439025,13.601935361377695,8.327441215391609,12.028374552671247,16.518900915520526,16.826482487692115,14.425355521409564,13.20424031879239,9.417864238755357,12.195631765061961,9.601834061280194,11.742655698889777,12.09411339541636,9.054199120814948,12.956184484562698,8.226016506357317,13.25462486927004,10.587148909169686,13.276064514371756,9.328283488201583,12.52796807351133,18.186909075738086,13.563504820033105,17.445937011403696,11.891978089372008,12.02176747440936,13.841509153039215,11.799896043471545,7.532348234643193,10.283964148989371,14.854054460736345,9.30826750704487,10.700510406202659,13.01791613598,14.37565409997334,11.1050501069025,9.893531132235031,10.399057603284168,8.175606190135314,11.987782148060894,9.679856078649346,10.648473925261925,10.081620321785914,10.973067345959866,9.971744467314922,12.11296455818811,13.537611866512117,10.016763143354195,9.980605081236313,11.585985707064548,8.520953962368564,10.211965866784938,11.275260680658821,9.102099101788294,9.489312127043394,11.776848709124893,9.923561512482022,8.328324401482776,8.96229184123117,10.247519962637714,9.331008433261966,13.284195927036452
DMSO_3,DMSO,13.515559154288528,7.615074539298599,11.188549378263987,9.293319906899457,10.54829390304529,12.946341823417397,10.988550240884132,13.4571652886496,13.705347971612884,8.426633971628506,12.213842575262628,11.302498370927983,8.719380510535343,11.303976154873506,13.131184368840188,10.893087781748312,13.681655643403072,13.8816963056541,16.960221783082794,13.587541783152455,9.55685983453078,12.172249326052064,12.862225775488637,13.77735832813826,8.32970202084519,12.102019791187018,16.689357097363278,17.09032426425552,14.63911822580054,13.488242947819943,9.6965628537961,12.611404558431376,10.258633653182265,12.622782705130978,12.380521038740843,8.852820145923582,13.181929379415653,8.44214359118219,13.496739502378594,10.640392826288807,13.242434905927938,10.483676766118727,12.904430449527288,18.507858001099034,13.708231762110957,17.6569850187556,12.203534878910075,12.750593349570632,12.98526306038774,11.85965450829645,8.661405450274922,10.255297499568528,15.553747913198404,9.152520737138437,12.32277778232587,13.455498912771777,14.70766898249355,11.390627911902866,10.06015696801346,10.677004495409925,10.037251841926828,11.658417298274426,8.192447927727375,11.010327955668126,10.553121018236329,11.203619077169147,10.105728048306316,13.111056032349849,13.27396755067982,10.150909784048812,10.461052206687535,11.380736334972474,6.931615785539854,10.475823352347934,12.001189278091662,8.134363870941016,9.203021114922556,14.232582256511462,10.329666690108713,8.721175864300237,8.950078869406125,9.937153976179287,10.714951164667925,13.360762589964112
DMSO_4,DMSO,13.632413843469703,9.33294822632223,11.17234840696976,8.57235618715972,10.427957201056387,12.850125158582822,11.040578490470214,13.19806297357945,13.47216753405345,10.342784481421019,12.304036070602589,12.578174120853562,9.121858261824439,10.33940074629623,13.047825932252843,11.666429294813984,13.619765095793063,14.400730237555004,17.147560938503027,14.128789928524007,9.081936247388212,14.092229319518077,12.584326876211751,12.615971638609734,8.49863850433735,12.317911114313572,16.5832286619065,17.013372878525967,14.135238776748643,12.993411460186579,9.336111985163738,12.752295696060116,9.818058186049758,10.629902285903077,12.066570082961169,10.768970655716096,13.08182779746295,8.577120763001725,12.844893406015506,10.547543534894622,13.418147811040505,10.351622774127803,13.26610650801942,18.21049939776477,13.210170509538623,17.380687761512355,11.541458128279052,12.893605912956518,13.733976328561385,11.65180707201584,8.947858458287605,10.218085389421743,14.603042784017603,9.349821339948585,12.488154084557491,13.23525535098424,14.447992980565886,11.441201899867552,9.749634215767268,10.401852949376662,10.924440336903926,11.656263084865193,10.149419735113065,10.917371380236423,10.652224380656726,11.090135114578285,9.793407146157382,12.834482432986324,13.368142003450195,10.028577837152012,10.030777815075696,11.570866874493863,9.473026524730727,9.965957517991637,12.159882115803551,8.238946918104833,9.876129553092087,11.661629097499041,10.305529977844994,8.398855972955229,8.76603188105111,9.847772007515278,10.101859800890786,9.814534906682013
