p.value,m.z,t.score,pos_inx
5.20574777461396e-09,295.05499,-49.4177347076222,0
8.38792721989224e-09,331.03127,-46.7958571451622,0
1.95273619994605e-08,591.11664,-45.345670048343,0
3.15537351698093e-08,295.05494,-42.4467630229622,0
5.43675914216141e-08,451.05458,-34.6838432054705,1
6.83976803770318e-08,751.04911,-40.5339892443533,0
7.06466642501121e-08,770.09042,-35.0093938869818,1
9.2601460820095e-08,375.02094,-30.2267745631665,0
1.08750974649866e-07,363.04205,-29.3327041332968,0
1.17533277410747e-07,179.00787,-34.1302746132936,0
1.39040490771768e-07,615.11299,-31.5204578365456,1
1.40600757594362e-07,179.00746,-59.278180836579,0
1.44125472939767e-07,252.04896,-38.9710650478964,0
1.70433854440344e-07,429.17335,-30.8660280880849,1
2.22357282551501e-07,375.02105,-45.3308230057116,0
2.61830256782919e-07,397.00313,-25.3686427692714,0
2.65797508858878e-07,377.03585,-30.762130806714,1
2.71410587207006e-07,394.06243,-29.1264970704056,1
5.78512140598635e-07,253.02916,-40.7684720875761,1
6.63605337622549e-07,542.11329,-27.5571711583038,1
6.86048535018656e-07,246.24254,-28.4212947408861,1
8.64690969320414e-07,195.00656,-44.8388487929823,0
1.24281036376785e-06,594.13171,-20.5002465417486,0
1.29279730592664e-06,117.05494,-35.6341585381556,1
1.86966168885439e-06,613.09838,-19.938459706336,0
2.02219448889251e-06,375.02142,-64.9637216317522,0
2.97996810000342e-06,295.05468,-30.7142357604841,0
3.32778298739119e-06,656.11975,-16.9283664386781,1
4.26533152477221e-06,179.00756,-16.0285250793182,0
4.3689529579386e-06,413.09654,-17.1787938082499,0
6.33728345624337e-06,385.08677,-14.87356808301,0
8.10857248202228e-06,429.17133,-15.884745989596,1
9.57359023502512e-06,399.01807,-14.3832180765849,1
1.1435971491789e-05,203.00389,-13.3791218741728,1
1.20214127674771e-05,314.09589,-22.2812639795851,1
1.32261392595776e-05,295.05466,-18.4911194493197,0
1.48669459448843e-05,129.05578,-17.9417590807791,0
1.51391390934231e-05,179.007563,-44.386879990981,0
1.56649213824781e-05,331.03128,-43.3993162093281,0
1.75875265767346e-05,614.07444,-12.4072366525614,1
1.77884082509003e-05,302.53383,13.9381840000667,0
1.85659370454931e-05,443.08759,-13.0658319325227,0
2.10859051195829e-05,295.05459,-13.0953715104169,0
2.75343611235808e-05,335.02595,-11.3874309955923,1
3.02008655455737e-05,81.03357,-19.3295788032956,1
3.13941700950254e-05,414.99146,-11.5602131707377,1
3.48676210394221e-05,377.03632,-19.9445174645933,1
3.65472771867305e-05,615.1118,-11.7813064498873,1
5.77643455477725e-05,459.19907,14.3317687182505,1
6.3082388790301e-05,773.03139,-12.0299273230807,0
6.48183877093065e-05,375.02102,-18.2454826646825,0
6.65202439204782e-05,197.02095,-18.48551527582,1
7.19527873833213e-05,389.03669,-17.5483357298408,0
7.27247328574438e-05,425.11764,-20.7389326923524,0
7.67944825111315e-05,420.99942,-22.3943030735152,1
7.75921057898558e-05,197.02096,-20.1805070422546,1
7.98061749100274e-05,255.04076,-18.0562150522667,1
9.54355746891512e-05,500.11082,-10.463647713917,1
0.000107854688224599,179.01037,-17.3353510975725,1
0.000114489133738128,252.04861,-10.9891008148637,0
0.000137879756034217,205.05153,-9.79640576392763,1
0.00014945134192985,81.03366,-16.0999972100548,1
0.000149676368267549,181.02183,-16.3973658521727,1
0.000151034164052322,355.07562,-10.9062873867943,0
0.000157296166764906,631.07321,-11.5627667669018,0
0.000182116217338894,193.02309,-10.8960051807561,0
0.000192552910311888,553.13074,-16.0254183097389,1
0.000221448979686008,643.10148,-11.3012141607069,0
0.00025921453330682,753.06481,-14.9112396985192,1
0.000267484919421359,132.10202,-15.7312248544275,1
0.000271373791293686,79.02126,-14.866871885444,1
0.000364877229943524,335.02499,-8.6176604577155,1
0.000417907014796632,375.06237,-13.7952884762145,1
0.00043913580687625,204.04882,-7.37347495636468,1
0.000456835159565922,287.1422,7.0088676040803,1
0.000457733690578546,377.03567,-14.8924454779433,1
0.000459951216652312,159.00128,-9.85416518803894,0
0.000462774141977866,345.0468,-9.87655703614585,0
0.000487751011654712,414.99095,-13.5980651241503,1
0.000515478364159336,1129.09138,-13.0367037886186,1
0.000606822753639515,375.02109,-10.3584356895413,0
0.000635284680187187,295.05464,-11.2127152345444,0
0.000683390936781328,383.07403,-9.18971163374458,0
0.000691766393795384,508.13039,-12.8936031246163,1
0.000986513638255862,443.1893,-11.3797166288292,1
0.00104227278680441,297.15438,-8.8756305381157,1
0.00117195608235853,399.01774,-10.9838943673259,1
0.00129148196581158,495.05848,-10.5628144330833,1
0.00130304095054548,394.97941,-9.40985726844499,0
0.00131130608348515,381.00384,-8.38741644028518,0
0.00144289104016114,775.04594,-10.2645087666906,1
0.00150118884150332,414.35788,-5.94031835056064,1
0.00158481956196957,629.14605,-10.0938083982035,1
0.00169777314324205,297.06944,-9.78638178193174,1
0.00173680580974345,493.04373,-7.98961885463028,0
0.00180914903293944,377.03586,-9.74771574198694,1
0.00181409915947848,117.05488,-9.66885314410916,1
0.001867003526958,884.15893,-9.49777359812246,1
0.00219869293008281,179.00769,-7.7738053353878,0
0.0023671895859475,455.04969,-8.99020171159074,1
0.00242698343644953,99.04399,-8.84906033034064,1
0.00245366052171875,209.15334,-5.32967419959646,1
0.0025744033454333,295.05486,-7.93234609918568,0
0.0026885003218391,611.02458,-7.15115638738197,1
0.002776131872674,325.04328,-5.10932534143021,1
0.00306751993942911,305.13205,-8.21664700059518,1
0.00314552909833396,230.18624,-5.06180664261328,1
0.00320425930077384,679.13605,-7.23501358585538,0
0.00328140862506725,193.02324,-7.01609798074423,0
0.00344778087247184,243.06224,-5.70410270834789,0
0.00346520546087504,191.04018,-4.76207543968803,1
0.00354722742208696,645.11645,-7.98373654515349,1
0.00365669156512139,399.01726,-7.88346439731165,1
0.00418280247478874,345.89744,4.72815512027278,1
0.00451396075929737,295.05467,-4.54008696229184,0
0.00480374813428614,495.09836,-7.21992292412767,1
0.00481933209196267,112.05052,-4.44609328951136,1
0.0048757370567314,401.34501,-4.34700893890861,1
0.00495325962904788,652.05122,-4.78709404122351,1
0.00517693425360774,386.32641,-6.15742001034011,1
0.00532639332485692,179.00753,-6.44332049077057,0
0.00540280760916124,409.04764,-5.42160058108204,0
0.00556888344165444,428.20437,5.90040778815656,1
0.00618743869073263,357.0879,-4.43968013448735,1
0.00619497488619862,162.11251,4.31592878521714,1
0.00630287284706154,515.2128,-4.2424185832026,1
0.00635587925145657,282.11992,-4.16018146743093,1
0.00641164403295875,375.02111,-6.39763276953282,0
0.00699246520146414,97.02839,-4.76149597727969,1
0.00701762425498127,257.05905,-4.29071286676353,1
0.00719996668867563,454.98733,-5.86389153769398,0
0.00721110281592079,221.0185,-4.03959613656603,1
0.00729637157169095,176.07051,-4.63914081263356,1
0.00731045709881788,280.09212,-4.86221109654651,1
0.00748843756093107,402.99506,4.01293037803608,0
0.00770532470583018,146.06019,-5.29630653944785,1
0.0078911868286244,544.33927,5.90073870443735,1
0.00805958831178389,261.1099,5.78862870994977,1
0.00815299276071566,591.03049,-5.77940340613265,0
0.00832251795197632,664.11627,-5.72697688440961,1
0.00867651911756616,244.09037,-4.39637939444097,1
0.00883253086699199,218.13858,-3.84348346214179,1
0.00892563574548383,482.10188,4.23184681881032,0
0.0091104555996241,426.02215,4.28993807067304,0
0.00954507700273974,335.106,-3.76034401712962,1
0.00980531159458487,445.18309,5.81943570214752,1
0.0101308260390076,347.02511,-4.44186193577476,1
0.0102382564421542,415.09158,-5.65576672974786,1
0.0102430467921077,355.06345,-3.6874001339188,1
0.0111191903989442,132.102023,-4.12135804513122,1
0.0114519490381684,242.09986,-3.9521715647132,1
0.0114659467328433,496.33956,4.94775195639373,1
0.0117046077776556,185.02785,3.58763346925943,0
0.0117972838415351,170.00457,3.57380616090221,0
0.0121798238736363,424.34289,-3.8698238347427,1
0.0121950307385169,284.98493,3.63258606290297,0
0.0122117459314176,123.05503,3.57036945222282,1
0.0122614325350421,171.01225,3.5445893680932,0
0.0126736460315329,405.00944,-4.71570247597359,1
0.0126996280864623,538.14736,-3.74346162509898,1
0.0128707251919446,638.51737,-3.51525943926544,1
0.0130501230488559,288.19141,-3.99081194952097,1
0.0132305554198321,160.04277,-3.70521045885496,1
0.0135176082282721,258.93328,-3.83710889827531,1
0.0138258138859287,159.00058,-4.4802388297463,0
0.0142563380186022,179.00738,-4.77948667997397,0
0.0143750042925491,280.09193,-4.06491734269268,1
0.0147778616283849,433.14051,4.89972555363675,0
0.01509627453696,593.70684,4.00773453417742,0
0.0160121271534599,267.07378,4.0221078519108,0
0.0163171165604309,370.05232,3.67761867347253,1
0.0176656087057987,184.09668,-3.46678579267305,1
0.0178374527114254,542.32442,4.46068002641624,1
0.0178970541917882,215.12883,3.34164673835841,0
0.0184746076520809,176.07058,-3.21432986875581,1
0.0191837146379643,384.09832,3.99058762431559,0
0.0195335317400456,554.34641,4.32878404652595,0
0.0196516152455792,206.05511,3.35305960450135,1
0.0199285873073317,202.10724,-3.3750539959195,1
0.0199839316021888,426.35775,-3.17261057082821,1
0.0204053877749949,313.08644,4.16335367388292,0
0.0207395006699845,295.16487,-3.22974420339416,1
0.0208980581241882,268.07302,3.27340202124758,0
0.0219443616953049,282.08437,3.41290467322995,0
0.0219454293454259,245.09532,-4.15298043842446,1
0.022115780133765,146.06013,-3.06681969224124,1
0.0227793792641605,510.24638,3.17181956276163,1
0.0229158886250504,259.07469,3.20647866205996,1
0.022919934412068,582.11825,3.67678832436528,0
0.0229865240479638,452.12346,3.03390247118079,1
0.0231655671387267,122.07125,-3.99899590336367,1
0.0232850039036482,245.23341,-4.02488535799637,1
0.0234386901514866,347.02509,-4.06690685223542,1
0.02347323782049,560.33891,-3.13172295602059,1
0.0237921625794869,251.10357,4.02682236009637,0
0.0240041994348287,809.58409,-3.16593484667022,1
0.0242756313665295,227.08447,-3.17197043452096,1
0.0245780987826725,579.02661,3.15215124778649,0
0.0253055300146044,594.3763,3.46042034563938,1
0.0262679314668742,321.0493,4.06421999270321,0
0.0265401935315143,160.07575,3.6912751646029,1
0.0267272961002882,276.16651,-3.14374182086288,1
0.0268740706998552,462.06686,3.2688629910484,0
0.0278186191289064,399.08264,-3.19779321090867,1
0.0280780119905589,506.23199,-2.96272000546685,1
0.0281049247402206,544.33853,2.93112431558212,1
0.0284573884334737,353.11671,-2.8789454404048,1
0.028672838216366,683.16582,3.73993209829467,0
0.0291059729344226,160.04273,-2.86880230325459,1
0.0291904622543295,568.33916,3.45593578577005,1
0.029217267586144,724.43887,2.96833127077597,1
0.0293524317600427,280.09177,-3.57144103291729,1
0.029556218013975,526.29273,3.90193929748017,1
0.0295611734015093,245.07682,-3.61945804436398,1
0.0306730962067485,275.17118,-2.97113975210388,1
0.0309406286301081,225.088,3.22022906205608,0
0.031065071841169,328.09759,3.69730947102024,0
0.031109112920901,376.11816,3.78502230200696,0
0.0313834194182385,400.34193,-3.5800183770498,1
0.0314988769662858,332.89426,-2.81021714956075,1
0.0317666916562277,200.17588,3.29958613694236,1
0.0320826095085966,309.12683,-2.7794862226821,1
0.0325801516189201,318.06492,-2.77233139688652,1
0.032624970996003,529.09252,3.65307795844375,0
0.0327103746929184,602.15803,-2.7953480726098,1
0.0327207390838578,266.05663,3.60117168679779,1
0.0328852801466141,500.27704,3.71611009848815,1
0.0332027549636748,448.97847,-2.91874639662578,1
0.0332279153894754,171.10267,2.99778190778797,0
0.0333809681141823,237.08806,3.0177769156679,0
0.0343112802218993,158.09235,-3.54243900857164,1
0.0345165566813232,123.05549,-2.84317658731536,1
0.0346586830338887,317.18911,-2.74188416044551,1
0.0346838230536149,316.20856,-3.30592177250881,1
0.0353468561232268,535.74786,2.97466072408891,0
0.035709341368859,259.02239,2.83241359379626,0
0.0363937225168267,588.07447,2.69887619308904,0
0.0364514212437461,316.98108,2.7002617736165,0
0.0366073277009166,171.00642,2.93354207954777,0
0.0369487753834875,329.0813,2.75746946834331,0
0.0370749626187848,191.03991,-2.76117717184384,1
0.0375963583822088,752.46936,3.10066789573798,1
0.0376982291122979,289.08622,2.65909961872746,0
0.0377474428705078,261.13405,2.75131913561037,0
0.0381379632308259,160.04053,-2.65233354741004,0
0.0383878310761414,584.08874,-3.29556221294609,1
0.0384066968594472,335.10609,-2.6462517771782,1
0.0390193857571104,528.84824,-2.85584660189618,1
0.039707244147489,485.35714,-2.88272175588528,1
0.0398133647487049,531.27711,-2.65478383919971,1
0.0400401354565618,722.49697,2.83827836824045,1
0.0404459146325779,371.21125,2.68609782255059,1
0.0406215221246564,240.03239,-2.98283649310262,1
0.0406321889546086,381.10087,-2.62623157592407,1
0.0414581180562003,222.0291,2.72104918510359,1
0.0414649543667966,361.16488,-3.12584506778165,1
0.0414856171914836,346.0558,2.79178128931754,0
0.0416714207976518,294.14766,2.76863193394141,1
0.0417884488320681,235.01273,-2.63173032812192,1
0.0420770141948895,768.55438,-3.00852025375606,1
0.0421490022245997,144.04561,-3.3553330059904,0
0.0421703927950336,220.11795,-2.61481921408243,1
0.0422162820206696,176.07067,-2.69905104999661,1
0.0423789190647311,400.34194,-2.62462955121964,1
0.0424062802354243,258.11021,-2.63122540780691,1
0.0427162582613042,307.03845,-2.61061897918579,0
0.0427366282805606,245.18806,-2.56598053137044,1
0.0429463221890972,112.05053,-3.25193678894965,1
0.0434835675959709,432.23819,-2.84799422154187,1
0.0437276023237888,192.06551,-3.13218051884505,1
0.0438519040673017,608.35692,2.78064009969508,0
0.0440856674037807,260.18539,-2.56608694308341,1
0.0444622336476935,504.2177,2.65240199006746,0
0.0445337732726904,310.13059,-2.73384840493964,1
0.0448175843780257,384.20508,-2.99247279023863,1
0.0449094116465028,384.03291,2.54095909672538,0
0.0452823022624184,146.06014,-3.2404311031926,1
0.0453178181049972,257.94889,-3.25996737422553,1
0.0456899222047158,170.06004,-2.58360333112108,1
0.0457957366209721,323.02838,2.59430380062569,0
0.0463328220622867,694.33776,-2.52061322597688,1
0.0464996058194835,104.107,-2.54536170402169,1
0.0465239802756,546.35442,3.19186877264069,1
0.0468553582876445,228.0371,2.52535458359358,1
0.0469821974278591,651.44188,2.98948121259877,1
0.0471155036429269,495.04247,2.54618170535337,0
0.0472356345006224,343.23354,-2.77495626605492,1
0.0474601283423219,502.29269,3.09932445680466,1
0.0476151696673471,628.05626,2.76703493077238,0
0.0476409455108097,246.15598,-2.485031629123,1
0.0479567387310394,357.0876,-2.57430823005768,1
0.0481650869677199,468.30833,3.03428170554445,1
0.0481739633765719,620.39497,2.83307893672942,1
0.0488088717326323,330.14915,3.11932178637055,0
0.0492861483303557,287.14235,2.76180160914172,1
0.0500397327393895,594.32651,-2.56623397120491,1
