Sample,Group,C00003,C00005,C00008,C00015,C00016,C00019,C00020,C00029,C00043,C00051,C00052,C00055,C00061,C00062,C00082,C00103,C00105,C00118,C00120,C00127,C00130,C00144,C00147,C00157,C00158,C00167,C00170,C00199,C00242,C00257,C00262,C00294,C00299,C00307,C00319,C00325,C00350,C00360,C00362,C00364,C00378,C00387,C00463,C00487,C00491,C00570,C00588,C00612,C00670,C00836,C00864,C00946,C01586,C01657,C02301,C02305,C02494,C02567,C02571,C02862,C02990,C03017,C03546,C03742,C03794,C03889,C04100,C04230,C05282,C05382,C05526,C05551,C05635,C06525,C07005,C07471,C07968,C10598,C13916,C14550,C14785,C17925,C19434,C19463,C19670,C20387,C21484
DMSO_1,DMSO,13.079051029504878,5.080482245749126,11.84911047641119,9.943137735842852,12.051636131303374,12.380760538582022,15.435303202578687,13.576428831754576,13.460441991075413,12.826529764812276,12.367930305002746,12.226511103065535,6.209516235813376,11.336585435512752,13.391432148777909,12.514853941855348,14.228443787974351,6.066926998345415,13.71826949428119,18.199655504546318,8.506950185861443,12.901522744028625,10.18300247228702,8.634702957616689,10.512869400987595,13.114455462356272,14.053599004585028,8.181692592133015,12.321239258434007,7.631204705303339,13.976867370813002,17.139067871731715,14.796511563948958,5.2848927675834485,13.531762430309014,9.861928266871137,11.989661510548611,10.717104522097507,11.664957537410576,12.685749509625644,12.873550075476015,13.721990368672255,10.371830866918442,13.415183324560626,8.916193390256652,6.031379615035803,18.336493480330496,13.765432754132815,17.680809045296204,12.424831563690805,15.025444530107253,14.261220644215049,11.814015897121255,6.233609928210478,11.16795891005701,14.639148217575583,10.405862052078241,11.58511754755188,12.980148597353134,14.61441373310312,10.52843553493999,9.8948643806256,10.981232025416961,7.958027605252261,12.208140111736876,11.197321554004445,10.944065791404794,13.554424170082996,11.032354318337436,10.132250650108102,5.460809451219846,12.283604742922096,10.010420633144442,9.87819845267356,10.412222321856543,9.989169867261838,8.497950040948151,10.241378073896687,6.327025569519805,10.589356030786435,9.163873437286567,10.25846218797055,6.865065772977065,8.916878245089935,11.167042515240183,10.698675759629207,13.478568859638662
DMSO_2,DMSO,12.964287031908503,6.693561952849425,11.722809541735376,10.020423004401088,12.196748978186195,12.442274243140568,15.73833278556024,13.561781734352113,13.430135468609482,12.23616662189692,12.391801625474756,12.579751476546994,8.761958966779794,11.241642871264888,13.4280571563442,12.458653345877154,14.292957070553555,6.069384365570409,13.698274206738269,18.140280828928937,8.332680211801119,13.11489598090837,9.936931740325157,10.089963013462,10.338599426927269,12.991802158655856,13.78469520266957,8.803101449845759,12.741606520358514,7.456934731243013,14.145734071040568,17.036133216304467,14.761674657522954,5.225503992906259,13.456461647201964,9.91909951547854,12.032282366087822,10.417748133161416,11.88455073689689,12.458701888795835,13.011067719062464,13.489469773370216,10.531092712285485,13.194765185330198,8.916771843161287,6.033836982260797,18.422278502031435,13.986391114448391,17.543456616064532,12.216485997663915,15.010636104102545,14.53499027241989,11.906308987182783,6.059339954150152,10.849007466833068,14.863051431254014,9.976848930588584,11.439230063620276,13.010420790256044,14.499155978999019,10.285621603231588,10.178207595809655,10.670014490255257,8.296936745309901,12.265723942554628,11.34780563731992,10.506083273860233,13.443255868742762,11.487634548300191,10.077458006749346,5.463266818444839,12.400528598119196,10.076679828587885,10.156535537971733,9.846977790013165,9.78779095406002,10.24401388979379,9.51863327643848,8.978645275947372,10.473054159712136,8.989603463226242,10.021728438585164,8.52148355446323,8.669027027196583,11.15758201376392,10.599725558478509,13.42606855789126
DMSO_3,DMSO,13.13973511085255,7.4930203260237125,11.725408816182993,9.527420461228324,12.414985641830594,12.881003860945436,15.880182689143549,13.61222976079442,13.42679221977493,12.597977983652319,12.213019421680402,12.499592525713446,7.871212169595794,11.030858974151974,13.35130702525365,12.9712781956818,14.267914437699519,5.968451831772725,13.98057142608875,18.160545407981054,8.237648656124374,13.210093542207442,10.373136173666033,9.425632854629207,10.243567871250525,12.987888875729709,13.863279751578684,7.776052282251085,13.002842818541323,7.361903175566269,13.903888252793239,16.524169201652892,14.249879140497796,4.901046545143703,13.634013221600478,9.977565933284367,11.749650137668173,10.2350931658248,11.844797952057263,12.391914955815134,13.137678855531657,12.92436144527771,10.448712551478607,13.283344007116158,9.900458021458432,5.932904448463114,18.399828046587146,13.425014094253479,17.64008518796156,12.345548761667008,15.554970078073634,14.891495584335393,12.008576192198618,5.964308398473408,11.415505041551514,15.191283509169761,10.40447821542424,12.25741695162461,13.488710442738299,14.71067611546587,11.046484923519555,10.846609081975776,10.852969921338941,8.762866310211162,12.600922209569708,11.110410460423553,10.982823618948645,13.642805357650454,11.345763519067177,9.619945718008209,5.362334284647156,12.546716712144327,9.393652095776254,10.33797218766525,10.223568116232851,10.312776397743809,5.2693061377206245,9.21063493883611,8.67582667904605,10.287280301822484,8.894571907549498,10.376343198250565,9.123278252122743,8.8644285041076,11.435579948613636,10.603659014578877,13.547967331032735
DMSO_4,DMSO,12.873200524971514,8.437553037816903,11.817548254682125,9.39943511146059,12.306369320255978,12.899908419206897,15.670547322938575,13.579271554572523,13.478963245889345,12.650740760071354,12.474374090022893,11.9186579808212,7.854096127497418,11.61503550443575,13.337509959593511,13.048026166909702,14.25675937119367,5.963987202174676,13.974043951247848,17.942203599688014,8.147003572683916,12.48396472074388,10.019421507930444,10.281658247365721,10.152922787810068,12.995372745001537,14.089883746392278,7.67094067834279,11.872153741378526,7.271258092125811,13.806633298895779,16.801487717757013,14.35719900697251,4.93952266007579,13.722541956000146,9.939867548693197,11.773812374242278,10.493381641987574,12.19612641895949,12.196967972135111,13.15088072136038,12.89871667579394,10.740359923033381,13.160573659929428,10.680100082263001,7.886609847613416,18.49950701968216,13.861308075296884,18.015710016003286,12.489868004352541,15.372384280503677,14.521363573405948,12.298023350004751,7.161812011983501,11.114204119902551,15.015310284701926,10.512236958342479,11.998188744008694,13.533769058424536,14.685661630112097,10.795624994627335,10.39758856088167,11.402335166624697,8.93318805543512,12.646871859508796,10.003786842253836,11.381747413807716,13.921561683284306,11.360385297814961,10.31069317072766,5.3578696550491065,12.430215752378508,9.83998403186845,10.18167656554354,8.756879935177826,10.959386287090204,7.514887268024033,9.799847366235435,9.017978069164254,9.952089095484283,8.80392682410904,10.464815312513025,8.253837596936593,8.920534287178475,11.34139047082464,10.658422297992605,13.726184072747765
Mena_1,Mena,11.60245169656734,8.98499039491128,11.411335217955628,8.476064371050303,11.80703879427336,12.741897884776282,14.083919871131965,10.626590662782569,11.836737059407282,8.867297830767471,9.560012568245524,10.911146982236867,8.748409984517288,12.642642107169747,13.795318144258152,11.829905974302273,12.814641802213453,8.644980558356572,14.086329570848058,17.090185348390456,11.1703772451862,12.214474674708962,9.300653025152426,10.27241520885459,12.939841131196289,10.761959992074122,14.423803723698828,9.87992441791965,13.028597230225246,10.357038766338507,13.383288466764508,16.88133057927567,14.434040212001877,7.930312835661186,12.924865731461479,8.973135894324647,11.968395275740727,8.718565913406286,10.018519498117906,11.440147893176738,13.317982292962567,14.270293894082174,11.201597897086241,13.199476348524941,9.049416946029535,9.123387930803109,17.870998753385226,13.662503536412407,17.050015804336716,11.79448392854697,14.03677685060982,12.242333869218111,11.127198985580437,8.60862891651083,14.59502699779242,12.104656184008562,10.168207742043972,12.141661122832625,12.961651966736907,13.17739103876012,15.266958093012702,10.11786591498975,10.634969952657714,7.798776325896869,10.21174086165391,11.4381790202621,10.264106200530126,13.03710668805978,9.911382837203549,13.206759176990989,8.114842169157148,13.248531587120103,6.7009603875751,10.964960166491498,8.25981036053772,9.62528249909299,10.138892434827259,9.563915981203781,6.4375480154800995,10.099416554547087,11.541822663506064,9.710287826182938,6.661992607038682,9.48194528739142,11.39057998272401,10.856122575601596,13.181668140366668
Mena_2,Mena,11.479338019428175,6.9462985879721515,11.57408201553974,8.56759489354648,11.818910955942048,12.071131583516994,13.947520376436074,10.529622261651557,11.717915803586463,8.775521483143889,9.608306605395917,11.116373564741767,8.911563720952653,12.53091953217694,13.628951944131302,11.378707343265543,12.806627328077807,8.5142921399907,13.935726736045915,16.932897270922012,10.884648264441974,12.210128353932372,8.083846113427603,11.689007414421626,13.000236556537718,10.695864487324096,14.032170864499962,10.121288851821163,12.91701212364113,10.433953122369948,13.371873797385948,16.806633374501438,14.637198686490786,8.084667622218973,12.926531567280179,8.944539040908356,12.349419329008546,8.190499605526883,9.245261747351114,11.483369956459752,13.215376410619513,14.272880793176656,10.83157696397788,12.979869655843098,9.124742733332162,9.123896577840956,17.742905190165306,13.664279630476477,16.87168565355906,11.828063408839554,13.771792335232247,11.998038819401986,11.208643947576844,8.42451380834973,14.373723767882126,11.980083360879416,10.062648832381859,11.264742714790419,12.931467977993295,12.568215802771862,14.94405155594678,10.19756917407941,10.236377238118944,8.793393462503412,9.953821671747027,11.573177146886394,10.226092620868018,13.146198746929043,10.001838382660738,13.37259111294685,8.382434813112082,13.120376545857246,6.6360598241981865,10.934174090906883,8.969597506004982,9.116418045057273,10.446933349672689,6.676092443291986,9.231538181542367,9.82261322122011,11.792302877864381,9.179809946140342,7.253291336289444,9.44661585309645,10.215484031233576,10.480977869826544,12.98678531482928
Mena_3,Mena,11.56557436415903,8.659325372731255,11.380935824028686,8.30494591016573,11.71457459762954,11.957031787570104,14.063823019601552,10.515344084589863,11.912387095723487,8.71982282377341,9.414404528024978,10.834956157437182,8.737315166081915,12.595785108236308,13.521329360060987,11.345572148727342,12.732661849300914,8.849525612144507,14.055612481463445,16.898953631659293,10.948728876432256,11.814049443205889,9.391233467581651,9.205867632724447,13.281755101276506,10.768694980533233,14.228397144286914,9.668904161303395,12.723746148506347,10.649380868617603,13.035910488199763,16.61274907816821,14.21349792112964,7.968721278874247,12.875338706350966,8.976582925350737,11.831871487948712,7.978051001009345,10.518340718318942,11.504569571737074,13.302679601915642,13.899686255820123,10.943904036950197,13.15680080249901,9.39500177791926,9.03832894914395,18.15523714929197,13.784798023835922,16.972078263203297,11.387160316731983,14.08351116442452,12.358072898669771,10.99609284605588,8.022256554641457,14.419897390043348,12.053792945995715,10.007599263554225,11.752102118268999,13.070738757415633,12.720743512806784,15.095727480959953,10.29318835773743,10.247964656910762,7.911113549414656,10.015946235189642,11.692568617945403,10.488555513457989,13.444535561403114,10.008396014621898,12.997122794340552,8.680569266484286,13.025228567805073,9.061625584123407,11.046441787202372,8.798322016450319,9.016492016274638,9.505019447814915,9.070608090392163,8.810995171905597,9.759263089515397,11.789702031633624,9.501273942915446,7.4345157128170944,9.332143732063198,9.301259597269139,10.259794035266175,13.271760170872513
Mena_4,Mena,11.712603943362929,9.150175501013283,11.674358086065125,7.791013751001972,11.80199956775614,12.23038202344417,14.133615945001923,10.40643046634889,11.850755631459073,8.711385528317543,9.436510576124249,10.744076885441212,8.647383364027375,12.660130442607672,13.90678117883481,11.430551165046124,12.867617239368672,8.398838510405566,13.981247271740234,17.15938741983156,11.097556400701654,12.094906668211635,8.77718203120519,11.004239276958351,13.082170844900537,10.71360981121889,13.88870954454331,9.404283781491419,12.665088481135102,10.405973560308226,13.22300544116289,16.65727734859605,14.325673469225427,7.7862869824204495,12.819257077681135,9.051373233628558,12.704410407390101,8.240665658626325,11.082773328964587,12.04370495042346,13.295442608675598,14.01879597879964,11.097766172442206,12.927600082299216,9.201808780920791,9.05914014206822,17.884183841961615,13.994092065958927,16.900648283310005,11.60152461832323,14.074496197149148,12.276331299662973,11.001152527463633,8.872714480012052,14.36140653354626,11.852480630764514,9.99121216161549,12.36732933597876,12.861126750457812,12.96407430612842,15.074560977111464,10.167876074357771,10.399546008406157,5.26798411261372,10.280247279099976,11.523901686511893,10.69212830215407,13.34840688874928,9.917962716620616,13.069291774038023,7.3223586584831555,13.074768757571722,7.7479868881303675,11.124624459961964,9.3912333261221,9.178198548218745,7.311936844761847,6.548489713177084,9.240602945158,9.835372449000909,11.761926971267435,9.520532729471258,7.612666226420833,9.399621520365823,9.673267740282329,10.334083663264176,13.383207662432028
