"","Sample","Group","C00003","C00008","C00015","C00016","C00019","C00020","C00029","C00043"
"1","DMSO_1","DMSO",12.9299467130718,11.7248825390561,8.66677285632549,9.11903017636902,13.1167091627622,15.1400505362597,13.2968905419064,13.30113694585
"2","DMSO_2","DMSO",12.3715528665422,11.8002573734955,8.96756253669774,8.81428272869976,12.7656727170008,15.1045982441364,12.9770851530705,13.1112795751366
"3","DMSO_3","DMSO",12.5471659029396,11.5000019141619,8.9612177716651,8.69762260096206,12.6653229905439,14.9832414895167,13.0350791071803,12.9748738501224
"4","DMSO_4","DMSO",12.9944288569705,10.3730698302585,9.10445924732175,9.07150060191096,13.119663749171,14.8743247337527,13.128905735873,13.0629903138009
"5","Metriz_1","Metriz",12.4113149811542,10.8618038980112,9.1279036554672,8.74672692211887,12.7350003712449,14.9634458669144,12.7590415349297,12.9555464229835
"6","Metriz_2","Metriz",12.2963081257258,10.8372901891734,8.73551126981683,8.88748970260879,12.8189585638192,14.8887263808479,12.8796896689638,13.0132451466906
"7","Metriz_3","Metriz",12.3720437805999,11.3432697893041,9.00087157973681,9.2353208841401,12.5703623473412,14.5990004200471,12.8475956421623,12.9274450637554
"8","Metriz_4","Metriz",12.4575146168632,11.2900026517369,9.36327177717536,9.19999902807299,12.5719935246189,14.8475744942908,12.9262718808806,13.0473334430611
