c_uM,viab_perc
1000,89.00652272
1000,87.28399679
1000,92.57036947
1000,85.95745383
100,93.24354053
100,96.84698558
100,92.68916437
100,100.23264
10,93.46133116
10,92.59016862
10,83.75974833
10,88.11556103
1,101.1236017
1,85.60106915
1,93.24354053
1,89.95688185
0.1,97.89634046
0.1,89.46190314
0.1,76.13707611
0.1,87.91756954
0.01,98.43091747
0.01,96.43120346
0.01,81.32445305
0.01,78.4139782
