c_uM,viab_perc
1000,2.111929284
1000,2.016936993
1000,1.86851154
1000,1.191691473
100,43.6354341
100,46.94829022
100,38.58303167
100,48.48597792
10,96.42146232
10,95.75651629
10,93.83292241
10,101.4441797
1,91.28000462
1,95.28749186
1,90.47257015
1,86.60163433
0.1,93.83292241
0.1,97.3654482
0.1,86.93410734
0.1,90.18759328
0.01,95.2696808
0.01,95.41216924
0.01,100.0371064
0.01,93.70230802
