Sample,Group,C00003,C00008,C00015,C00016,C00019,C00020,C00029,C00043,C00051,C00052,C00055,C00061,C00062,C00082,C00103,C00105,C00120,C00127,C00144,C00147,C00157,C00158,C00167,C00170,C00199,C00242,C00262,C00284,C00294,C00299,C00307,C00319,C00325,C00350,C00360,C00362,C00364,C00378,C00387,C00463,C00487,C00491,C00550,C00570,C00588,C00612,C00670,C00836,C00864,C00946,C01495,C01586,C02301,C02305,C02494,C02567,C02571,C02862,C02990,C03017,C03546,C03794,C03889,C04100,C04230,C05282,C05382,C05526,C05551,C06525,C07005,C07471,C07968,C10438,C11430,C13916,C16207,C17925,C19463,C20387,C21484,C22599
DMSO_1,DMSO,13.211799325945998,12.236269303314481,9.866229486217238,12.008067530008208,12.646196316669815,15.365829943363558,13.516768640743066,13.521066002671976,15.23238816843052,12.325648247574275,12.02907852961699,9.160142081113715,11.31371252919731,13.191308109179976,11.964927529073307,14.243451402699993,13.567993903776157,18.253198941660223,14.987853820599152,9.663347190169505,13.364545565246356,12.493990134610678,12.610684703457002,13.557104819923282,8.82876243956049,11.789701538584266,14.495405035134711,6.832020474170057,17.44715746379712,14.659288374280214,6.629764943916423,12.881410544692518,9.895032805100323,12.38678369324568,10.499428902688992,11.656748778153489,12.82452724641606,13.001682005721657,13.661673497175684,10.733179880674411,13.262932266368338,8.813706833100762,11.95864491618448,7.436946232911183,14.801925686602488,14.278780072892603,11.71125097965945,11.326262058028801,14.818627509352455,13.966401452156774,5.679560582013388,11.872739903744453,10.92847471219502,15.291344557386706,9.007679547063612,12.918775273818014,13.043583145537001,14.528062866008993,7.432675223966355,9.586259072527142,10.35347402478269,10.885776332095427,10.828067299266126,10.832441465364736,12.118637045709557,11.461874400105717,8.272723134555056,11.571541101380735,13.094502382928239,11.00807551832861,10.076134131703755,9.559821908127516,8.461083018473097,9.88770165995207,7.265843890021407,6.003215123584238,9.825241378091558,9.913559698306013,9.110718834974607,10.352371854318438,10.680718317959743,9.050402362007935
DMSO_2,DMSO,13.214845760000912,12.018524492765822,9.604338461530151,12.210138312684983,12.865892883146946,15.732530054267974,13.643234966491683,13.543481833901165,14.725883815463085,12.437317865011964,12.07073193305409,9.221500322666737,11.304849694569642,13.316248114830023,12.1012552445025,14.32557654572005,13.588354615122931,18.10516307795047,15.154293935683608,9.883031541674608,13.757883097582525,12.902324034096374,12.627768703033325,13.169923168618613,7.863415872050178,11.973482769375662,14.197872754361828,6.855638100462072,17.152325807682296,14.315278604811517,6.653382570208438,12.860573907598985,10.011663268948803,12.66203925424399,10.374824030354908,11.905311994687482,12.627108909080064,12.89315863527574,13.095687610742868,10.508489502705538,13.3884205918192,8.798956370505545,12.871962757020599,5.798087811558218,14.92929225212928,14.467355491705854,11.560079816233824,11.304331882151047,15.035789969963867,14.508134389470825,5.703178208305404,11.87951428114787,10.783918579644354,15.298061060995797,8.512682431732781,13.126148005916022,12.930281459770422,14.348909651175706,7.456292850258372,9.6415602853942,10.249988316130143,11.184225775376298,11.214148922033035,10.827459601561628,12.107161314091334,11.793621776247154,8.290953136177892,12.073242270769123,13.717384442486201,11.605291789421473,9.402125398834716,10.120602906659606,8.675509242276583,9.911319286244085,7.289461516313423,8.984747800702326,9.920576522158129,9.8967951620607,8.842063903024373,9.841844535102089,10.765066154194894,9.145737506074507
DMSO_3,DMSO,13.244961896680287,11.83334502109431,9.49720001687967,11.930736816919717,12.874474180612628,15.261477160411303,13.23757951382687,13.081145418881345,14.19347147116158,12.106336365565756,12.260249230292345,9.38748297497742,10.957211643700639,13.581871639150727,11.937748088754917,14.159963152648748,13.508991679325042,18.06488219893537,15.177154895699655,9.284628120750208,13.79237517332598,12.52735300580407,12.195109876428976,13.303900026332833,8.643655871678167,12.381230341711339,14.615465176431671,6.872353512678315,17.612796112707116,14.979639114125895,6.67009798242468,13.030467987171539,9.7388388100553,12.555093805557078,10.03643501387871,11.506666775424089,12.343662135659686,12.797459105630157,13.83409207286149,10.534453660074888,13.260601029894268,9.10015905153262,12.648975980817555,7.895632847881566,14.634096887843985,13.954412063494267,11.455909335524733,11.511872883040983,14.781855347788172,13.843258837001644,5.719893620521646,11.66866443242716,10.617551667468037,14.904544245346372,9.25140358602361,12.744077265163934,12.652878096107546,14.265379177515056,7.473008262474614,9.582650671610168,10.159806169686004,10.66452378444336,10.998045161892986,10.98902193262299,12.097154560715007,11.462803193020155,8.436295378506328,11.818768047221818,13.463464144568892,11.38422576176035,10.27973624998718,9.675958637402884,10.01493691386736,9.928034698460326,7.3061769285296645,8.92117673726207,9.943292270490593,9.658386887981267,9.005697515063916,10.172202592871924,11.08587594480084,9.168453254406971
DMSO_4,DMSO,13.35428971090706,11.986229288551508,9.610661073172261,12.07248886861504,12.890650937560292,15.465264682547875,13.35183286167428,13.246020265165365,14.671059907856556,12.380646901537768,12.188284119792007,9.244764203734016,11.222603354897776,13.523483647494116,11.911568795548337,14.188962227578921,13.496857875376211,18.047972895517702,15.154899518936539,9.703498038567194,13.448656932306195,12.57082034786738,12.312122648093546,13.288012562575007,8.940784124909664,12.121628031492804,14.727568524219999,6.9672678567986575,17.644434100051107,14.756110082133262,6.765012326545023,13.13509124480991,9.639643770197454,12.541154345784625,10.385779413730626,11.362268360930251,12.57469779529457,12.894837882502017,13.821060530876244,10.571709921656659,13.242963773708246,8.795558756213502,12.221556126962376,7.063413316892221,14.557048262458187,13.991531149310774,11.402312168805231,11.676485118938732,14.61867013474655,13.923738899501128,5.814807964641989,11.583795060579863,10.646593373080506,14.984170555401352,8.747749816695807,12.43175530518278,12.66799796377234,14.296194509447941,7.567922606594956,9.70941247817064,10.201165930595558,11.140342668774682,10.967969584311225,10.913172216500655,11.752825330456977,11.492370947104845,8.471649478202526,12.036113156539201,13.705662681473664,11.629021982617132,9.720967804978368,9.551767383032981,10.156923867695156,10.02294904258067,7.4010912726500075,9.353529504449446,9.939806607037806,9.90123101372767,8.851314887924874,10.205770990813898,11.161464360657364,9.164967590954184
Phena_1,Phena,10.709230153503256,12.065371023494178,7.604786765873541,11.64105921768946,11.735777413135413,12.81903572272737,10.034994844731024,11.622642416075234,13.681536927803064,8.91703096444703,10.744700976106206,9.743002818576928,12.827554315092481,13.919912137647504,9.990677620159113,12.203122629564453,14.078151721138237,16.338523860032996,14.395282149057634,8.778950106487983,12.306149291440914,15.801802756670922,8.591331811237003,12.970840051702176,11.107886713625863,13.523439727319296,13.662096950528992,9.881806508218364,17.09255445155701,14.156390183887535,9.906065918429132,10.99332352388705,9.232331582574771,12.021818658983534,7.107938468293078,8.000616027333859,11.330920452206614,13.27264351595128,14.746665797331499,11.544078108055647,13.21894307653299,9.245811387735055,11.602405619808762,11.309580781725135,14.07350005614358,14.165301822773598,11.741505526306826,9.921418656148937,13.157641040824988,11.791391439794735,8.594223321667348,9.824706040230264,8.34264390913784,12.423087122929838,10.821270646515599,13.146953303185605,14.149135356434249,9.655261631540343,10.451099358881802,4.687393959108472,8.30465723697387,8.205215541490485,9.934358571950442,10.363735627817912,11.40457915416004,9.623205607689057,10.917399436628918,10.300829048535665,14.209567035855805,12.234216217266567,7.586247829271927,9.040009538628242,9.294036717649446,13.418249384244055,10.799248255076792,6.243997024462018,12.541684510856712,9.05572352041579,9.85045833723437,6.900073954905101,10.952330768930926,12.33561570613674
Phena_2,Phena,11.127322566444455,12.069454376451391,6.65916873272972,11.918808702493827,12.042987359366567,12.933298525384433,10.41024456066808,11.720845491625228,14.24447145761317,9.25485108977336,10.495030407340534,9.819140212134863,12.902292931290834,14.099873666529591,9.364598160360273,11.952384100116461,14.166233405854289,16.55122495101805,14.246828936278575,8.722535341526637,12.801870451064893,15.916618534024051,8.734541278379238,12.885464376143153,11.07027565634158,13.367686792975121,13.40606548675158,9.198636535157387,16.97025123891914,13.658988706347523,9.615956299559599,11.24274561751459,8.757823721388553,12.170682765842074,7.424428444428732,9.113122250637819,11.37856067875087,13.23385736597782,14.22082504489407,11.571506255616233,12.880427273056629,8.826214288375468,12.02691975431075,11.20364500828738,14.255359414151972,14.291969156790183,11.524719640345104,9.996501214170841,13.644452529354716,11.970489075856818,8.736780247542105,9.95606305447139,8.323305198482277,12.30377182945176,10.763857074573163,13.31376844966817,13.979030459685854,10.415571460197155,10.640955740269643,5.882522306466301,7.437355170565796,8.10248324851526,10.269189792010684,10.465459586355257,11.409713848238368,9.845680722844227,11.319132382112521,10.581800443537317,14.35396035796818,12.398616214123432,6.724266346157855,9.447745273991384,8.569473958711534,12.250218879523675,10.300612984901674,9.66326537540219,12.729338682140519,8.891850996825006,10.331134869131537,6.8807352442495375,11.281407858908997,11.87244448452201
Phena_3,Phena,10.824488026535603,11.993518686268924,7.75937036253545,11.966195097232324,12.04419979365651,12.820940011189986,10.282049440118236,11.633796592260413,12.148352472813343,9.285864561109834,10.486471704564465,9.785765029283892,12.684337111649677,13.75617441135953,9.121586498875429,11.98146800347479,14.245305372691773,16.37063376460348,14.152532914324274,8.4877085760111,13.029506121495235,15.803200621638974,8.533263632118587,13.058411313917674,11.042337824113448,13.649740543927013,13.498315634720996,8.195643456941392,16.928235390968382,13.772233290551853,9.607479143395139,11.566064724824374,8.83659079314534,12.395257701022498,7.019895004996847,7.85659434104729,11.218385909110706,13.412090388655518,14.148821542323255,11.696443889651752,12.957976073574475,9.224387068554066,12.253409170324977,11.481628283346083,14.033099993187449,14.13437041263299,11.482723332402731,10.48292192798807,13.558793440305381,11.868771994412208,9.552307515132268,10.063891746766117,8.200468845842275,12.412776096579046,10.938984290342125,13.22234229073602,14.250720437052133,10.797423907019034,10.649254474972887,6.658233192261707,7.020298075028821,8.061193855203916,9.388079793043607,10.504309138771418,11.229357924775748,9.577011306227032,11.332268751366207,10.460455459048486,14.20539154175603,12.230201333394435,3.9283450901428263,10.136440304145358,8.65081432899711,12.264162324003005,10.689151710030814,9.084865044468382,12.63685969718756,9.392561357864608,10.157171303660457,8.789315538894229,11.599406944333122,12.060811949011933
Phena_4,Phena,10.81798415384251,12.03870060400642,6.565409666464895,11.936315157890022,11.933785918045821,12.436117600839909,10.23196682617017,11.783513063178491,13.596496226957244,9.08944388794711,10.502783973144686,9.68033135754485,12.964165813929613,14.045375155671518,9.865555068707469,11.922918795523024,14.082138579076483,16.390800482759364,14.144485034910549,8.928082937231714,12.273477948683686,15.682311958110795,8.682999426741533,12.825068730657305,10.919982987817818,13.333450458138401,13.525859120904979,9.594035935289213,16.98225505814021,13.89173288254793,9.50984067480938,11.139257835302976,8.970006430329166,11.9198110323949,7.471426511518187,7.894326533885404,11.56283642421696,13.260541767607158,14.492033169575787,11.256538416722224,13.113575024925034,8.96746556699404,11.610790768707181,11.373019854008476,14.525866236914414,14.169350393826777,11.790412035671151,9.687791674148615,13.302823153190484,11.763552563966835,8.846990156224487,10.025158507397908,8.268499469666802,12.354981092000237,11.069416212155815,13.423790131379496,14.057491075593774,10.121103318651345,10.37533955660606,5.836698276113262,8.17556138818315,8.09892604804203,10.260731029131486,10.339147809893111,11.409086432528515,9.844285104250392,11.30023564102038,10.520841147319384,14.141281173741794,12.323476212665964,6.55315813815481,9.67127396104709,6.629625131363952,11.828714598787517,10.695317911648798,9.301855599050466,12.904706252650147,9.08783513459573,10.052935058929524,6.825929515434063,11.327462421902572,11.760310311990246
